"ProductionID","Tanggal","Shift","Line","Operator","Mesin","Produk","TargetProduksi","AktualProduksi","JumlahCacat","DowntimeMenit","CycleTimeDetik","DefectRatePct","PencapaianPct","Bulan","Hari"
"PRD-00001",2026-01-02,"Pagi","Line-A","OP04","M-02","Shaft",291,295,12,12,52.6,4.07,101.4,"2026-01","Friday"
"PRD-00002",2026-01-03,"Pagi","Line-A","OP07","M-01","Bracket",411,377,9,14,45.2,2.39,91.7,"2026-01","Saturday"
"PRD-00003",2026-01-05,"Pagi","Line-A","OP02","M-02","Shaft",301,309,4,9,51.4,1.29,102.7,"2026-01","Monday"
"PRD-00004",2026-01-06,"Pagi","Line-A","OP02","M-02","Bracket",434,433,14,64,46.5,3.23,99.8,"2026-01","Tuesday"
"PRD-00005",2026-01-07,"Pagi","Line-A","OP04","M-01","Housing",345,315,5,3,45.4,1.59,91.3,"2026-01","Wednesday"
"PRD-00006",2026-01-08,"Pagi","Line-A","OP05","M-01","Bracket",383,388,11,0,49.8,2.84,101.3,"2026-01","Thursday"
"PRD-00007",2026-01-09,"Pagi","Line-A","OP08","M-01","Housing",371,341,4,28,42.6,1.17,91.9,"2026-01","Friday"
"PRD-00008",2026-01-10,"Pagi","Line-A","OP01","M-01","Housing",315,317,2,40,41,0.63,100.6,"2026-01","Saturday"
"PRD-00009",2026-01-12,"Pagi","Line-A","OP02","M-02","Shaft",265,272,9,50,51.5,3.31,102.6,"2026-01","Monday"
"PRD-00010",2026-01-13,"Pagi","Line-A","OP07","M-01","Housing",344,333,10,85,44.1,3,96.8,"2026-01","Tuesday"
"PRD-00011",2026-01-14,"Pagi","Line-A","OP01","M-01","Shaft",297,258,6,3,45.1,2.33,86.9,"2026-01","Wednesday"
"PRD-00012",2026-01-15,"Pagi","Line-A","OP02","M-01","Housing",384,381,11,12,38,2.89,99.2,"2026-01","Thursday"
"PRD-00013",2026-01-16,"Pagi","Line-A","OP03","M-01","Housing",314,293,6,2,48.7,2.05,93.3,"2026-01","Friday"
"PRD-00014",2026-01-17,"Pagi","Line-A","OP02","M-02","Housing",366,344,9,21,50,2.62,94,"2026-01","Saturday"
"PRD-00015",2026-01-19,"Pagi","Line-A","OP07","M-01","Shaft",327,328,5,62,52.6,1.52,100.3,"2026-01","Monday"
"PRD-00016",2026-01-20,"Pagi","Line-A","OP06","M-01","Housing",299,286,7,16,49.2,2.45,95.7,"2026-01","Tuesday"
"PRD-00017",2026-01-21,"Pagi","Line-A","OP03","M-01","Shaft",336,331,19,9,54.7,5.74,98.5,"2026-01","Wednesday"
"PRD-00018",2026-01-22,"Pagi","Line-A","OP04","M-02","Housing",377,351,18,13,49.2,5.13,93.1,"2026-01","Thursday"
"PRD-00019",2026-01-23,"Pagi","Line-A","OP06","M-01","Housing",395,402,6,14,34,1.49,101.8,"2026-01","Friday"
"PRD-00020",2026-01-24,"Pagi","Line-A","OP08","M-02","Shaft",340,307,8,12,47.7,2.61,90.3,"2026-01","Saturday"
"PRD-00021",2026-01-26,"Pagi","Line-A","OP06","M-01","Housing",376,337,16,1,53.7,4.75,89.6,"2026-01","Monday"
"PRD-00022",2026-01-27,"Pagi","Line-A","OP08","M-01","Bracket",449,419,4,4,51,0.95,93.3,"2026-01","Tuesday"
"PRD-00023",2026-01-28,"Pagi","Line-A","OP07","M-02","Shaft",275,268,8,57,55.8,2.99,97.5,"2026-01","Wednesday"
"PRD-00024",2026-01-29,"Pagi","Line-A","OP04","M-01","Housing",294,281,6,8,41.6,2.14,95.6,"2026-01","Thursday"
"PRD-00025",2026-01-30,"Pagi","Line-A","OP03","M-02","Housing",351,341,16,30,44.2,4.69,97.2,"2026-01","Friday"
"PRD-00026",2026-01-31,"Pagi","Line-A","OP04","M-02","Bracket",415,418,18,21,37.5,4.31,100.7,"2026-01","Saturday"
"PRD-00027",2026-02-02,"Pagi","Line-A","OP06","M-01","Bracket",369,356,4,1,39.1,1.12,96.5,"2026-02","Monday"
"PRD-00028",2026-02-03,"Pagi","Line-A","OP04","M-02","Shaft",338,328,14,15,54,4.27,97,"2026-02","Tuesday"
"PRD-00029",2026-02-04,"Pagi","Line-A","OP02","M-01","Shaft",333,333,4,8,52,1.2,100,"2026-02","Wednesday"
