"ProductionID","Tanggal","Shift","Line","MachineID","OperatorID","Product","PlannedTime","RunTime","DowntimeMin","Output","Defect","IdealCycleSec","CycleTimeSec"
"PRD-00001",2026-06-01,"Malam","Line-A","M-01","OP01","Housing",420,412,8,10645,350,2,2.32
"PRD-00002",2026-06-01,"Malam","Line-B","M-03","OP07","Bracket",420,414,6,11020,448,1.8,2.25
"PRD-00003",2026-06-01,"Malam","Line-C","M-06","OP03","Bracket",420,394,26,11363,521,1.8,2.08
"PRD-00004",2026-06-01,"Pagi","Line-A","M-02","OP04","Bracket",450,444,6,13217,268,1.8,2.02
"PRD-00005",2026-06-01,"Pagi","Line-B","M-04","OP09","Bracket",450,422,28,13143,395,1.8,1.93
"PRD-00006",2026-06-01,"Pagi","Line-C","M-05","OP09","Housing",450,447,3,12248,381,2,2.19
"PRD-00007",2026-06-01,"Sore","Line-A","M-01","OP04","Housing",450,390,60,11006,211,2,2.13
"PRD-00008",2026-06-01,"Sore","Line-B","M-04","OP09","Housing",450,435,15,11308,345,2,2.31
"PRD-00009",2026-06-01,"Sore","Line-C","M-05","OP05","Housing",450,443,7,12655,215,2,2.1
"PRD-00010",2026-06-02,"Malam","Line-A","M-01","OP07","Housing",420,382,38,9732,277,2,2.36
"PRD-00011",2026-06-02,"Malam","Line-B","M-04","OP09","Housing",420,370,50,8815,440,2,2.52
"PRD-00012",2026-06-02,"Malam","Line-C","M-05","OP08","Shaft",420,409,11,9334,268,2.2,2.63
"PRD-00013",2026-06-02,"Pagi","Line-A","M-01","OP06","Shaft",450,433,17,11332,278,2.2,2.29
"PRD-00014",2026-06-02,"Pagi","Line-B","M-04","OP05","Housing",450,403,47,10373,214,2,2.33
"PRD-00015",2026-06-02,"Pagi","Line-C","M-06","OP07","Housing",450,438,12,12580,396,2,2.09
"PRD-00016",2026-06-02,"Sore","Line-A","M-02","OP05","Shaft",450,317,133,7644,199,2.2,2.49
"PRD-00017",2026-06-02,"Sore","Line-B","M-03","OP04","Bracket",450,445,5,13251,206,1.8,2.01
"PRD-00018",2026-06-02,"Sore","Line-C","M-05","OP05","Shaft",450,447,3,11927,287,2.2,2.25
"PRD-00019",2026-06-03,"Malam","Line-A","M-01","OP10","Bracket",420,414,6,12037,294,1.8,2.06
"PRD-00020",2026-06-03,"Malam","Line-B","M-04","OP01","Housing",420,414,6,9229,569,2,2.69
"PRD-00021",2026-06-03,"Malam","Line-C","M-05","OP10","Bracket",420,408,12,12126,316,1.8,2.02
"PRD-00022",2026-06-03,"Pagi","Line-A","M-01","OP01","Shaft",450,402,48,10419,280,2.2,2.32
"PRD-00023",2026-06-03,"Pagi","Line-B","M-03","OP10","Bracket",450,436,14,14434,241,1.8,1.81
"PRD-00024",2026-06-03,"Pagi","Line-C","M-05","OP03","Bracket",450,427,23,14191,254,1.8,1.81
"PRD-00025",2026-06-03,"Sore","Line-A","M-01","OP04","Housing",450,440,10,12341,239,2,2.14
"PRD-00026",2026-06-03,"Sore","Line-B","M-04","OP07","Shaft",450,432,18,10326,193,2.2,2.51
"PRD-00027",2026-06-03,"Sore","Line-C","M-06","OP02","Bracket",450,421,29,13486,240,1.8,1.87
"PRD-00028",2026-06-04,"Malam","Line-A","M-02","OP04","Shaft",420,412,8,9495,265,2.2,2.6
"PRD-00029",2026-06-04,"Malam","Line-B","M-03","OP04","Bracket",420,406,14,11265,322,1.8,2.16
"PRD-00030",2026-06-04,"Malam","Line-C","M-05","OP10","Housing",420,409,11,10461,366,2,2.35
"PRD-00031",2026-06-04,"Pagi","Line-A","M-02","OP03","Shaft",450,443,7,10745,289,2.2,2.47
"PRD-00032",2026-06-04,"Pagi","Line-B","M-04","OP07","Bracket",450,391,59,11420,181,1.8,2.05
"PRD-00033",2026-06-04,"Pagi","Line-C","M-05","OP07","Shaft",450,446,4,11927,217,2.2,2.24
"PRD-00034",2026-06-04,"Sore","Line-A","M-01","OP01","Bracket",450,436,14,14113,235,1.8,1.85
"PRD-00035",2026-06-04,"Sore","Line-B","M-03","OP03","Housing",450,426,24,13123,411,2,1.95
"PRD-00036",2026-06-04,"Sore","Line-C","M-05","OP08","Bracket",450,435,15,14308,300,1.8,1.82
"PRD-00037",2026-06-05,"Malam","Line-A","M-02","OP09","Housing",420,303,117,7119,328,2,2.55
"PRD-00038",2026-06-05,"Malam","Line-B","M-03","OP03","Bracket",420,409,11,11715,290,1.8,2.09
"PRD-00039",2026-06-05,"Malam","Line-C","M-05","OP01","Housing",420,412,8,10516,369,2,2.35
"PRD-00040",2026-06-05,"Pagi","Line-A","M-02","OP07","Shaft",450,419,31,9624,328,2.2,2.61
"PRD-00041",2026-06-05,"Pagi","Line-B","M-03","OP09","Shaft",450,448,2,11065,185,2.2,2.43
"PRD-00042",2026-06-05,"Pagi","Line-C","M-06","OP05","Shaft",450,422,28,10961,241,2.2,2.31
"PRD-00043",2026-06-05,"Sore","Line-A","M-01","OP09","Shaft",450,444,6,11604,182,2.2,2.3
"PRD-00044",2026-06-05,"Sore","Line-B","M-04","OP06","Shaft",450,415,35,10598,253,2.2,2.35
"PRD-00045",2026-06-05,"Sore","Line-C","M-05","OP05","Shaft",450,446,4,11423,335,2.2,2.34
