"Karakteristik","Subgroup","Sampel","Pengukuran","Shift","Mesin"
"Diameter",1,1,25,"Pagi","M-01"
"Diameter",1,2,25.073,"Pagi","M-01"
"Diameter",1,3,24.954,"Pagi","M-01"
"Diameter",1,4,24.93,"Pagi","M-01"
"Diameter",1,5,24.989,"Pagi","M-01"
"Diameter",2,1,24.999,"Sore","M-02"
"Diameter",2,2,25.162,"Sore","M-02"
"Diameter",2,3,25.181,"Sore","M-02"
"Diameter",2,4,24.901,"Sore","M-02"
"Diameter",2,5,25.07,"Sore","M-02"
"Diameter",3,1,24.96,"Malam","M-03"
"Diameter",3,2,25.009,"Malam","M-03"
"Diameter",3,3,24.989,"Malam","M-03"
"Diameter",3,4,25.076,"Malam","M-03"
"Diameter",3,5,25.058,"Malam","M-03"
"Diameter",4,1,25.053,"Pagi","M-01"
"Diameter",4,2,25.046,"Pagi","M-01"
"Diameter",4,3,24.904,"Pagi","M-01"
"Diameter",4,4,25.06,"Pagi","M-01"
"Diameter",4,5,25.127,"Pagi","M-01"
"Diameter",5,1,25.019,"Sore","M-02"
"Diameter",5,2,25.034,"Sore","M-02"
"Diameter",5,3,24.869,"Sore","M-02"
"Diameter",5,4,24.988,"Sore","M-02"
"Diameter",5,5,24.878,"Sore","M-02"
"Diameter",6,1,24.986,"Malam","M-03"
"Diameter",6,2,25.026,"Malam","M-03"
"Diameter",6,3,25.1,"Malam","M-03"
"Diameter",6,4,25.004,"Malam","M-03"
"Diameter",6,5,24.932,"Malam","M-03"
"Diameter",7,1,25.015,"Pagi","M-01"
"Diameter",7,2,25.044,"Pagi","M-01"
"Diameter",7,3,25.01,"Pagi","M-01"
"Diameter",7,4,25.118,"Pagi","M-01"
"Diameter",7,5,25.034,"Pagi","M-01"
"Diameter",8,1,25.02,"Sore","M-02"
"Diameter",8,2,24.996,"Sore","M-02"
"Diameter",8,3,25.008,"Sore","M-02"
"Diameter",8,4,24.975,"Sore","M-02"
"Diameter",8,5,25.083,"Sore","M-02"
"Diameter",9,1,24.876,"Malam","M-03"
"Diameter",9,2,24.995,"Malam","M-03"
"Diameter",9,3,24.93,"Malam","M-03"
"Diameter",9,4,25.04,"Malam","M-03"
"Diameter",9,5,24.95,"Malam","M-03"
"Diameter",10,1,25.083,"Pagi","M-01"
"Diameter",10,2,24.882,"Pagi","M-01"
"Diameter",10,3,25,"Pagi","M-01"
"Diameter",10,4,25.016,"Pagi","M-01"
"Diameter",10,5,25.028,"Pagi","M-01"
"Diameter",11,1,24.971,"Sore","M-02"
"Diameter",11,2,25.028,"Sore","M-02"
"Diameter",11,3,25.099,"Sore","M-02"
"Diameter",11,4,24.926,"Sore","M-02"
"Diameter",11,5,24.905,"Sore","M-02"
"Diameter",12,1,25.198,"Malam","M-03"
"Diameter",12,2,25.07,"Malam","M-03"
"Diameter",12,3,24.937,"Malam","M-03"
"Diameter",12,4,25.004,"Malam","M-03"
"Diameter",12,5,24.955,"Malam","M-03"
"Diameter",13,1,24.978,"Pagi","M-01"
"Diameter",13,2,24.947,"Pagi","M-01"
"Diameter",13,3,24.786,"Pagi","M-01"
"Diameter",13,4,24.877,"Pagi","M-01"
"Diameter",13,5,25.116,"Pagi","M-01"
"Diameter",14,1,24.892,"Sore","M-02"
"Diameter",14,2,25.125,"Sore","M-02"
"Diameter",14,3,25.063,"Sore","M-02"
"Diameter",14,4,24.987,"Sore","M-02"
"Diameter",14,5,24.901,"Sore","M-02"
"Diameter",15,1,25.065,"Malam","M-03"
"Diameter",15,2,24.93,"Malam","M-03"
"Diameter",15,3,25.019,"Malam","M-03"
"Diameter",15,4,25.09,"Malam","M-03"
"Diameter",15,5,24.925,"Malam","M-03"
"Diameter",16,1,24.997,"Pagi","M-01"
"Diameter",16,2,25.078,"Pagi","M-01"
"Diameter",16,3,24.917,"Pagi","M-01"
"Diameter",16,4,25.054,"Pagi","M-01"
"Diameter",16,5,25.138,"Pagi","M-01"
"Diameter",17,1,25.004,"Sore","M-02"
"Diameter",17,2,24.994,"Sore","M-02"
"Diameter",17,3,24.932,"Sore","M-02"
"Diameter",17,4,24.908,"Sore","M-02"
"Diameter",17,5,24.924,"Sore","M-02"
"Diameter",18,1,25.181,"Malam","M-03"
"Diameter",18,2,25.108,"Malam","M-03"
"Diameter",18,3,25.078,"Malam","M-03"
"Diameter",18,4,25.06,"Malam","M-03"
"Diameter",18,5,25.176,"Malam","M-03"
"Diameter",19,1,25.121,"Pagi","M-01"
"Diameter",19,2,25.185,"Pagi","M-01"
"Diameter",19,3,25.087,"Pagi","M-01"
"Diameter",19,4,25.166,"Pagi","M-01"
"Diameter",19,5,25.128,"Pagi","M-01"
"Diameter",20,1,25.037,"Sore","M-02"
"Diameter",20,2,25.159,"Sore","M-02"
"Diameter",20,3,25.066,"Sore","M-02"
"Diameter",20,4,25.071,"Sore","M-02"
"Diameter",20,5,25.19,"Sore","M-02"
"Diameter",21,1,25.194,"Malam","M-03"
"Diameter",21,2,25.083,"Malam","M-03"
"Diameter",21,3,25.086,"Malam","M-03"
"Diameter",21,4,25.222,"Malam","M-03"
"Diameter",21,5,25.126,"Malam","M-03"
"Diameter",22,1,24.937,"Pagi","M-01"
"Diameter",22,2,25.074,"Pagi","M-01"
"Diameter",22,3,24.991,"Pagi","M-01"
"Diameter",22,4,24.948,"Pagi","M-01"
"Diameter",22,5,25.028,"Pagi","M-01"
"Diameter",23,1,24.94,"Sore","M-02"
"Diameter",23,2,25.155,"Sore","M-02"
"Diameter",23,3,25.029,"Sore","M-02"
"Diameter",23,4,24.893,"Sore","M-02"
"Diameter",23,5,24.949,"Sore","M-02"
"Diameter",24,1,25.07,"Malam","M-03"
"Diameter",24,2,25.021,"Malam","M-03"
"Diameter",24,3,25.097,"Malam","M-03"
"Diameter",24,4,24.957,"Malam","M-03"
"Diameter",24,5,25.085,"Malam","M-03"
