"Karakteristik","Subgroup","Xbar","R","Xbarbar","Rbar","UCL_x","LCL_x","UCL_r","LCL_r","OutOfControl"
"Berat",1,120.5648,2.69200000000001,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",2,120.3988,1.693,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",3,120.3138,2.83,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",4,120.1576,1.994,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",5,119.6828,2.843,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",6,120.327,1.07899999999999,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",7,119.7262,5.08799999999999,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",8,120.4122,4.785,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",9,119.7834,1.426,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",10,120.3546,1.702,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",11,119.4352,2.507,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",12,119.81,3.339,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",13,119.9418,1.82499999999999,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",14,120.8088,2.008,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",15,119.56,3.935,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",16,119.899,3.22199999999999,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",17,119.8146,3.059,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",18,120.676,2.03200000000001,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",19,120.9126,3.352,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",20,121.117,2.86,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",21,120.827,1.67400000000001,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",22,120.7264,2.14699999999999,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",23,120.6514,2.107,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",24,119.3922,1.90900000000001,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Berat",25,119.6914,1.986,120.199384,2.56376,121.67867352,118.72009448,5.41978864,0,FALSE
"Diameter",1,24.9892,0.143000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",2,25.0626,0.280000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",3,25.0184,0.116,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",4,25.038,0.222999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",5,24.9576,0.164999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",6,25.0096,0.168000000000003,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",7,25.0442,0.107999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",8,25.0164,0.107999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",9,24.9582,0.163999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",10,25.0018,0.200999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",11,24.9858,0.193999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",12,25.0328,0.260999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",13,24.9408,0.329999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",14,24.9936,0.233000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",15,25.0058,0.164999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",16,25.0368,0.221,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",17,24.9524,0.0960000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",18,25.1206,0.121000000000002,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",19,25.1374,0.097999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,TRUE
"Diameter",20,25.1046,0.153000000000002,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",21,25.1422,0.139000000000003,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,TRUE
"Diameter",22,24.9956,0.137,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",23,24.9932,0.262,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",24,25.046,0.140000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Diameter",25,24.9464,0.134999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE
"Kekerasan",1,60.2974,4.07,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",2,59.8814,4.167,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",3,58.8852,1.735,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",4,60.2232,2.685,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",5,60.155,3.625,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",6,59.2858,2.245,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",7,60.486,2.745,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",8,60.802,5.447,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",9,59.2348,2.21,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",10,59.271,4.583,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",11,59.6,3.564,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",12,60.782,4.04900000000001,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",13,59.7554,3.018,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",14,59.4734,5.198,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",15,60.195,3.888,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",16,59.452,2.371,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",17,60.4058,5.291,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",18,61.1144,3.883,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",19,62.0202,3.269,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",20,62.9562,2.68000000000001,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,TRUE
"Kekerasan",21,61.1078,3.07,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",22,60.4522,3.669,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",23,58.7884,3.777,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",24,59.2812,2.819,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
"Kekerasan",25,59.971,3.062,60.155072,3.4848,62.1658016,58.1443424,7.3668672,0,FALSE
