"Bulan","Produk","Permintaan"
2024-01-01,"Bracket",4248
2024-01-01,"Housing",2578
2024-01-01,"Panel",1655
2024-01-01,"Shaft",2255
2024-02-01,"Bracket",3985
2024-02-01,"Housing",2800
2024-02-01,"Panel",1642
2024-02-01,"Shaft",2385
2024-03-01,"Bracket",4851
2024-03-01,"Housing",3072
2024-03-01,"Panel",1485
2024-03-01,"Shaft",2847
2024-04-01,"Bracket",4658
2024-04-01,"Housing",3187
2024-04-01,"Panel",1911
2024-04-01,"Shaft",2789
2024-05-01,"Bracket",4992
2024-05-01,"Housing",3580
2024-05-01,"Panel",2121
2024-05-01,"Shaft",2957
2024-06-01,"Bracket",5141
2024-06-01,"Housing",3364
2024-06-01,"Panel",1797
2024-06-01,"Shaft",2886
2024-07-01,"Bracket",4380
2024-07-01,"Housing",3074
2024-07-01,"Panel",1650
2024-07-01,"Shaft",2624
2024-08-01,"Bracket",4690
2024-08-01,"Housing",2793
2024-08-01,"Panel",1603
2024-08-01,"Shaft",2737
2024-09-01,"Bracket",5018
2024-09-01,"Housing",3368
2024-09-01,"Panel",1637
2024-09-01,"Shaft",2685
2024-10-01,"Bracket",4977
2024-10-01,"Housing",3653
2024-10-01,"Panel",1786
2024-10-01,"Shaft",2917
2024-11-01,"Bracket",6199
2024-11-01,"Housing",3889
2024-11-01,"Panel",2250
2024-11-01,"Shaft",3843
2024-12-01,"Bracket",6520
2024-12-01,"Housing",4247
2024-12-01,"Panel",2380
2024-12-01,"Shaft",3681
2025-01-01,"Bracket",4628
2025-01-01,"Housing",3310
2025-01-01,"Panel",1470
2025-01-01,"Shaft",2886
2025-02-01,"Bracket",4513
2025-02-01,"Housing",3041
2025-02-01,"Panel",1592
2025-02-01,"Shaft",2582
2025-03-01,"Bracket",4665
2025-03-01,"Housing",3310
2025-03-01,"Panel",1752
2025-03-01,"Shaft",3563
2025-04-01,"Bracket",5355
2025-04-01,"Housing",3320
2025-04-01,"Panel",1708
2025-04-01,"Shaft",3341
2025-05-01,"Bracket",6110
2025-05-01,"Housing",3763
2025-05-01,"Panel",1899
2025-05-01,"Shaft",3768
2025-06-01,"Bracket",5244
2025-06-01,"Housing",3859
2025-06-01,"Panel",1969
2025-06-01,"Shaft",3533
2025-07-01,"Bracket",4766
2025-07-01,"Housing",2881
2025-07-01,"Panel",1531
2025-07-01,"Shaft",2960
2025-08-01,"Bracket",5054
2025-08-01,"Housing",3440
2025-08-01,"Panel",1848
2025-08-01,"Shaft",3225
2025-09-01,"Bracket",5831
2025-09-01,"Housing",3701
2025-09-01,"Panel",1719
2025-09-01,"Shaft",3479
2025-10-01,"Bracket",5645
2025-10-01,"Housing",3723
2025-10-01,"Panel",1893
2025-10-01,"Shaft",3092
2025-11-01,"Bracket",6393
2025-11-01,"Housing",4550
2025-11-01,"Panel",2229
2025-11-01,"Shaft",4741
2025-12-01,"Bracket",7701
2025-12-01,"Housing",4576
2025-12-01,"Panel",2474
2025-12-01,"Shaft",4915
2026-01-01,"Bracket",5008
2026-01-01,"Housing",3260
2026-01-01,"Panel",1513
2026-01-01,"Shaft",3348
2026-02-01,"Bracket",5054
2026-02-01,"Housing",3138
2026-02-01,"Panel",1387
2026-02-01,"Shaft",3804
2026-03-01,"Bracket",5599
2026-03-01,"Housing",3895
2026-03-01,"Panel",1620
2026-03-01,"Shaft",2933
2026-04-01,"Bracket",6413
2026-04-01,"Housing",3468
2026-04-01,"Panel",1765
2026-04-01,"Shaft",4029
2026-05-01,"Bracket",6459
2026-05-01,"Housing",4053
2026-05-01,"Panel",1742
2026-05-01,"Shaft",4600
2026-06-01,"Bracket",5455
2026-06-01,"Housing",3970
2026-06-01,"Panel",1698
2026-06-01,"Shaft",4308
2026-07-01,"Bracket",5844
2026-07-01,"Housing",4074
2026-07-01,"Panel",1369
2026-07-01,"Shaft",3829
2026-08-01,"Bracket",6660
2026-08-01,"Housing",3471
2026-08-01,"Panel",1507
2026-08-01,"Shaft",3710
2026-09-01,"Bracket",6393
2026-09-01,"Housing",3737
2026-09-01,"Panel",1673
2026-09-01,"Shaft",4326
2026-10-01,"Bracket",7062
2026-10-01,"Housing",4545
2026-10-01,"Panel",1831
2026-10-01,"Shaft",4714
2026-11-01,"Bracket",8710
2026-11-01,"Housing",4419
2026-11-01,"Panel",1951
2026-11-01,"Shaft",5270
2026-12-01,"Bracket",9208
2026-12-01,"Housing",5129
2026-12-01,"Panel",2142
2026-12-01,"Shaft",6091
