"Bulan","Produk","Permintaan","BulanKe","Tahun","MA3","EWMA03","EWMA06"
2024-01-01,"Bracket",4248,1,"2024",NA,NA,NA
2024-02-01,"Bracket",3985,2,"2024",NA,NA,NA
2024-03-01,"Bracket",4851,3,"2024",NA,NA,NA
2024-04-01,"Bracket",4658,4,"2024",4361.33333333333,4361.33333333333,4361.33333333333
2024-05-01,"Bracket",4992,5,"2024",4498,4450.33333333333,4539.33333333333
2024-06-01,"Bracket",5141,6,"2024",4833.66666666667,4612.83333333333,4810.93333333333
2024-07-01,"Bracket",4380,7,"2024",4930.33333333333,4771.28333333333,5008.97333333333
2024-08-01,"Bracket",4690,8,"2024",4837.66666666667,4653.89833333333,4631.58933333333
2024-09-01,"Bracket",5018,9,"2024",4737,4664.72883333333,4666.63573333333
2024-10-01,"Bracket",4977,10,"2024",4696,4770.71018333333,4877.45429333333
2024-11-01,"Bracket",6199,11,"2024",4895,4832.59712833333,4937.18171733333
2024-12-01,"Bracket",6520,12,"2024",5398,5242.51798983333,5694.27268693333
2025-01-01,"Bracket",4628,1,"2025",5898.66666666667,5625.76259288333,6189.70907477333
2025-02-01,"Bracket",4513,2,"2025",5782.33333333333,5326.43381501833,5252.68362990933
2025-03-01,"Bracket",4665,3,"2025",5220.33333333333,5082.40367051283,4808.87345196373
2025-04-01,"Bracket",5355,4,"2025",4602,4957.18256935898,4722.54938078549
2025-05-01,"Bracket",6110,5,"2025",4844.33333333333,5076.52779855129,5102.0197523142
2025-06-01,"Bracket",5244,6,"2025",5376.66666666667,5386.5694589859,5706.80790092568
2025-07-01,"Bracket",4766,7,"2025",5569.66666666667,5343.79862129013,5429.12316037027
2025-08-01,"Bracket",5054,8,"2025",5373.33333333333,5170.45903490309,5031.24926414811
2025-09-01,"Bracket",5831,9,"2025",5021.33333333333,5135.52132443216,5044.89970565924
2025-10-01,"Bracket",5645,10,"2025",5217,5344.16492710251,5516.5598822637
2025-11-01,"Bracket",6393,11,"2025",5510,5434.41544897176,5593.62395290548
2025-12-01,"Bracket",7701,12,"2025",5956.33333333333,5721.99081428023,6073.24958116219
2026-01-01,"Bracket",5008,1,"2026",6579.66666666667,6315.69356999616,7049.89983246488
2026-02-01,"Bracket",5054,2,"2026",6367.33333333333,5923.38549899731,5824.75993298595
2026-03-01,"Bracket",5599,3,"2026",5921,5662.56984929812,5362.30397319438
2026-04-01,"Bracket",6413,4,"2026",5220.33333333333,5643.49889450868,5504.32158927775
2026-05-01,"Bracket",6459,5,"2026",5688.66666666667,5874.34922615608,6049.5286357111
2026-06-01,"Bracket",5455,6,"2026",6157,6049.74445830925,6295.21145428444
2026-07-01,"Bracket",5844,7,"2026",6109,5871.32112081648,5791.08458171378
2026-08-01,"Bracket",6660,8,"2026",5919.33333333333,5863.12478457153,5822.83383268551
2026-09-01,"Bracket",6393,9,"2026",5986.33333333333,6102.18734920007,6325.1335330742
2026-10-01,"Bracket",7062,10,"2026",6299,6189.43114444005,6365.85341322968
2026-11-01,"Bracket",8710,11,"2026",6705,6451.20180110803,6783.54136529187
2026-12-01,"Bracket",9208,12,"2026",7388.33333333333,7128.84126077562,7939.41654611675
2024-01-01,"Housing",2578,1,"2024",NA,NA,NA
2024-02-01,"Housing",2800,2,"2024",NA,NA,NA
2024-03-01,"Housing",3072,3,"2024",NA,NA,NA
2024-04-01,"Housing",3187,4,"2024",2816.66666666667,2816.66666666667,2816.66666666667
2024-05-01,"Housing",3580,5,"2024",3019.66666666667,2927.76666666667,3038.86666666667
2024-06-01,"Housing",3364,6,"2024",3279.66666666667,3123.43666666667,3363.54666666667
2024-07-01,"Housing",3074,7,"2024",3377,3195.60566666667,3363.81866666667
2024-08-01,"Housing",2793,8,"2024",3339.33333333333,3159.12396666667,3189.92746666667
2024-09-01,"Housing",3368,9,"2024",3077,3049.28677666667,2951.77098666667
2024-10-01,"Housing",3653,10,"2024",3078.33333333333,3144.90074366667,3201.50839466667
2024-11-01,"Housing",3889,11,"2024",3271.33333333333,3297.33052056667,3472.40335786667
2024-12-01,"Housing",4247,12,"2024",3636.66666666667,3474.83136439667,3722.36134314667
2025-01-01,"Housing",3310,1,"2025",3929.66666666667,3706.48195507767,4037.14453725867
2025-02-01,"Housing",3041,2,"2025",3815.33333333333,3587.53736855437,3600.85781490347
2025-03-01,"Housing",3310,3,"2025",3532.66666666667,3423.57615798806,3264.94312596139
2025-04-01,"Housing",3320,4,"2025",3220.33333333333,3389.50331059164,3291.97725038455
2025-05-01,"Housing",3763,5,"2025",3223.66666666667,3368.65231741415,3308.79090015382
2025-06-01,"Housing",3859,6,"2025",3464.33333333333,3486.9566221899,3581.31636006153
2025-07-01,"Housing",2881,7,"2025",3647.33333333333,3598.56963553293,3747.92654402461
2025-08-01,"Housing",3440,8,"2025",3501,3383.29874487305,3227.77061760984
2025-09-01,"Housing",3701,9,"2025",3393.33333333333,3400.30912141114,3355.10824704394
2025-10-01,"Housing",3723,10,"2025",3340.66666666667,3490.5163849878,3562.64329881758
2025-11-01,"Housing",4550,11,"2025",3621.33333333333,3560.26146949146,3658.85731952703
2025-12-01,"Housing",4576,12,"2025",3991.33333333333,3857.18302864402,4193.54292781081
2026-01-01,"Housing",3260,1,"2026",4283,4072.82812005081,4423.01717112432
2026-02-01,"Housing",3138,2,"2026",4128.66666666667,3828.97968403557,3725.20686844973
2026-03-01,"Housing",3895,3,"2026",3658,3621.6857788249,3372.88274737989
2026-04-01,"Housing",3468,4,"2026",3431,3703.68004517743,3686.15309895196
2026-05-01,"Housing",4053,5,"2026",3500.33333333333,3632.9760316242,3555.26123958078
2026-06-01,"Housing",3970,6,"2026",3805.33333333333,3758.98322213694,3853.90449583231
2026-07-01,"Housing",4074,7,"2026",3830.33333333333,3822.28825549586,3923.56179833293
2026-08-01,"Housing",3471,8,"2026",4032.33333333333,3897.8017788471,4013.82471933317
2026-09-01,"Housing",3737,9,"2026",3838.33333333333,3769.76124519297,3688.12988773327
2026-10-01,"Housing",4545,10,"2026",3760.66666666667,3759.93287163508,3717.45195509331
2026-11-01,"Housing",4419,11,"2026",3917.66666666667,3995.45301014455,4213.98078203732
2026-12-01,"Housing",5129,12,"2026",4233.66666666667,4122.51710710119,4336.99231281493
2024-01-01,"Panel",1655,1,"2024",NA,NA,NA
2024-02-01,"Panel",1642,2,"2024",NA,NA,NA
2024-03-01,"Panel",1485,3,"2024",NA,NA,NA
2024-04-01,"Panel",1911,4,"2024",1594,1594,1594
2024-05-01,"Panel",2121,5,"2024",1679.33333333333,1689.1,1784.2
2024-06-01,"Panel",1797,6,"2024",1839,1818.67,1986.28
2024-07-01,"Panel",1650,7,"2024",1943,1812.169,1872.712
2024-08-01,"Panel",1603,8,"2024",1856,1763.5183,1739.0848
2024-09-01,"Panel",1637,9,"2024",1683.33333333333,1715.36281,1657.43392
2024-10-01,"Panel",1786,10,"2024",1630,1691.853967,1645.173568
2024-11-01,"Panel",2250,11,"2024",1675.33333333333,1720.0977769,1729.6694272
2024-12-01,"Panel",2380,12,"2024",1891,1879.06844383,2041.86777088
2025-01-01,"Panel",1470,1,"2025",2138.66666666667,2029.347910681,2244.747108352
2025-02-01,"Panel",1592,2,"2025",2033.33333333333,1861.5435374767,1779.8988433408
2025-03-01,"Panel",1752,3,"2025",1814,1780.68047623369,1667.15953733632
2025-04-01,"Panel",1708,4,"2025",1604.66666666667,1772.07633336358,1718.06381493453
2025-05-01,"Panel",1899,5,"2025",1684,1752.85343335451,1712.02552597381
2025-06-01,"Panel",1969,6,"2025",1786.33333333333,1796.69740334816,1824.21021038952
2025-07-01,"Panel",1531,7,"2025",1858.66666666667,1848.38818234371,1911.08408415581
2025-08-01,"Panel",1848,8,"2025",1799.66666666667,1753.1717276406,1683.03363366232
2025-09-01,"Panel",1719,9,"2025",1782.66666666667,1781.62020934842,1782.01345346493
2025-10-01,"Panel",1893,10,"2025",1699.33333333333,1762.83414654389,1744.20538138597
2025-11-01,"Panel",2229,11,"2025",1820,1801.88390258072,1833.48215255439
2025-12-01,"Panel",2474,12,"2025",1947,1930.01873180651,2070.79286102176
2026-01-01,"Panel",1513,1,"2026",2198.66666666667,2093.21311226455,2312.7171444087
2026-02-01,"Panel",1387,2,"2026",2072,1919.14917858519,1832.88685776348
2026-03-01,"Panel",1620,3,"2026",1791.33333333333,1759.50442500963,1565.35474310539
2026-04-01,"Panel",1765,4,"2026",1506.66666666667,1717.65309750674,1598.14189724216
2026-05-01,"Panel",1742,5,"2026",1590.66666666667,1731.85716825472,1698.25675889686
2026-06-01,"Panel",1698,6,"2026",1709,1734.9000177783,1724.50270355875
2026-07-01,"Panel",1369,7,"2026",1735,1723.83001244481,1708.6010814235
2026-08-01,"Panel",1507,8,"2026",1603,1617.38100871137,1504.8404325694
2026-09-01,"Panel",1673,9,"2026",1524.66666666667,1584.26670609796,1506.13617302776
2026-10-01,"Panel",1831,10,"2026",1516.33333333333,1610.88669426857,1606.2544692111
2026-11-01,"Panel",1951,11,"2026",1670.33333333333,1676.920685988,1741.10178768444
2026-12-01,"Panel",2142,12,"2026",1818.33333333333,1759.1444801916,1867.04071507378
2024-01-01,"Shaft",2255,1,"2024",NA,NA,NA
2024-02-01,"Shaft",2385,2,"2024",NA,NA,NA
2024-03-01,"Shaft",2847,3,"2024",NA,NA,NA
2024-04-01,"Shaft",2789,4,"2024",2495.66666666667,2495.66666666667,2495.66666666667
2024-05-01,"Shaft",2957,5,"2024",2673.66666666667,2583.66666666667,2671.66666666667
2024-06-01,"Shaft",2886,6,"2024",2864.33333333333,2695.66666666667,2842.86666666667
2024-07-01,"Shaft",2624,7,"2024",2877.33333333333,2752.76666666667,2868.74666666667
2024-08-01,"Shaft",2737,8,"2024",2822.33333333333,2714.13666666667,2721.89866666667
2024-09-01,"Shaft",2685,9,"2024",2749,2720.99566666667,2730.95946666667
2024-10-01,"Shaft",2917,10,"2024",2682,2710.19696666667,2703.38378666667
2024-11-01,"Shaft",3843,11,"2024",2779.66666666667,2772.23787666667,2831.55351466667
2024-12-01,"Shaft",3681,12,"2024",3148.33333333333,3093.46651366667,3438.42140586667
2025-01-01,"Shaft",2886,1,"2025",3480.33333333333,3269.72655956667,3583.96856234667
2025-02-01,"Shaft",2582,2,"2025",3470,3154.60859169667,3165.18742493867
2025-03-01,"Shaft",3563,3,"2025",3049.66666666667,2982.82601418767,2815.27496997547
2025-04-01,"Shaft",3341,4,"2025",3010.33333333333,3156.87820993137,3263.90998799019
2025-05-01,"Shaft",3768,5,"2025",3162,3212.11474695196,3310.16399519607
2025-06-01,"Shaft",3533,6,"2025",3557.33333333333,3378.88032286637,3584.86559807843
2025-07-01,"Shaft",2960,7,"2025",3547.33333333333,3425.11622600646,3553.74623923137
2025-08-01,"Shaft",3225,8,"2025",3420.33333333333,3285.58135820452,3197.49849569255
2025-09-01,"Shaft",3479,9,"2025",3239.33333333333,3267.40695074316,3213.99939827702
2025-10-01,"Shaft",3092,10,"2025",3221.33333333333,3330.88486552021,3372.99975931081
2025-11-01,"Shaft",4741,11,"2025",3265.33333333333,3259.21940586415,3204.39990372432
2025-12-01,"Shaft",4915,12,"2025",3770.66666666667,3703.7535841049,4126.35996148973
2026-01-01,"Shaft",3348,1,"2026",4249.33333333333,4067.12750887343,4599.54398459589
2026-02-01,"Shaft",3804,2,"2026",4334.66666666667,3851.3892562114,3848.61759383836
2026-03-01,"Shaft",2933,3,"2026",4022.33333333333,3837.17247934798,3821.84703753534
2026-04-01,"Shaft",4029,4,"2026",3361.66666666667,3565.92073554359,3288.53881501414
2026-05-01,"Shaft",4600,5,"2026",3588.66666666667,3704.84451488051,3732.81552600566
2026-06-01,"Shaft",4308,6,"2026",3854,3973.39116041636,4253.12621040226
2026-07-01,"Shaft",3829,7,"2026",4312.33333333333,4073.77381229145,4286.05048416091
2026-08-01,"Shaft",3710,8,"2026",4245.66666666667,4000.34166860401,4011.82019366436
2026-09-01,"Shaft",4326,9,"2026",3949,3913.23916802281,3830.72807746574
2026-10-01,"Shaft",4714,10,"2026",3955,4037.06741761597,4127.8912309863
2026-11-01,"Shaft",5270,11,"2026",4250,4240.14719233118,4479.55649239452
2026-12-01,"Shaft",6091,12,"2026",4770,4549.10303463182,4953.82259695781
