"Tanggal","Mesin","Shift","Breakdown","Penyebab","WaktuPerbaikanMenit","DowntimeTerencana","DowntimeMenit","UnitsProduced"
2025-01-01,"M-01","Malam",0,"Preventive OK",0,0,0,930
2025-01-01,"M-01","Pagi",0,"Preventive OK",0,0,0,790
2025-01-01,"M-01","Siang",0,"Preventive OK",0,0,0,974
2025-01-01,"M-02","Malam",0,"Preventive OK",0,0,0,752
2025-01-01,"M-02","Pagi",0,"Preventive OK",0,0,0,835
2025-01-01,"M-02","Siang",0,"Preventive OK",0,0,0,795
2025-01-01,"M-03","Malam",0,"Preventive OK",0,0,0,772
2025-01-01,"M-03","Pagi",0,"Preventive OK",0,0,0,904
2025-01-01,"M-03","Siang",0,"Preventive OK",0,0,0,692
2025-01-01,"M-04","Malam",0,"Preventive OK",0,0,0,920
2025-01-01,"M-04","Pagi",0,"Preventive OK",0,0,0,843
2025-01-01,"M-04","Siang",0,"Preventive OK",0,0,0,768
2025-01-01,"M-05","Malam",0,"Preventive OK",0,0,0,380
2025-01-01,"M-05","Pagi",0,"Preventive OK",0,0,0,403
2025-01-01,"M-05","Siang",0,"Preventive OK",0,0,0,428
2025-01-01,"M-06","Malam",0,"Preventive OK",0,0,0,409
2025-01-01,"M-06","Pagi",0,"Preventive OK",0,0,0,356
2025-01-01,"M-06","Siang",0,"Preventive OK",0,0,0,370
2025-01-02,"M-01","Malam",0,"Preventive OK",0,0,0,853
2025-01-02,"M-01","Pagi",0,"Preventive OK",0,0,0,807
2025-01-02,"M-01","Siang",0,"Preventive OK",0,0,0,727
2025-01-02,"M-02","Malam",1,"Bearing Failure",32,0,32,764
2025-01-02,"M-02","Pagi",0,"Preventive OK",0,0,0,693
2025-01-02,"M-02","Siang",0,"Preventive OK",0,0,0,785
2025-01-02,"M-03","Malam",0,"Preventive OK",0,0,0,853
2025-01-02,"M-03","Pagi",0,"Preventive OK",0,0,0,885
2025-01-02,"M-03","Siang",0,"Preventive OK",0,0,0,816
2025-01-02,"M-04","Malam",0,"Preventive OK",0,0,0,856
2025-01-02,"M-04","Pagi",0,"Preventive OK",0,0,0,737
2025-01-02,"M-04","Siang",0,"Preventive OK",0,0,0,782
2025-01-02,"M-05","Malam",1,"Bearing Failure",18,0,18,409
2025-01-02,"M-05","Pagi",0,"Preventive OK",0,0,0,388
2025-01-02,"M-05","Siang",0,"Preventive OK",0,0,0,419
2025-01-02,"M-06","Malam",0,"Preventive OK",0,0,0,412
2025-01-02,"M-06","Pagi",0,"Preventive OK",0,0,0,409
2025-01-02,"M-06","Siang",1,"Setup & Adjust",29,0,29,404
2025-01-03,"M-01","Malam",0,"Preventive OK",0,0,0,921
2025-01-03,"M-01","Pagi",0,"Preventive OK",0,0,0,799
2025-01-03,"M-01","Siang",0,"Preventive OK",0,0,0,857
2025-01-03,"M-02","Malam",0,"Preventive OK",0,0,0,756
2025-01-03,"M-02","Pagi",0,"Preventive OK",0,0,0,918
2025-01-03,"M-02","Siang",0,"Preventive OK",0,0,0,861
2025-01-03,"M-03","Malam",0,"Preventive OK",0,0,0,767
2025-01-03,"M-03","Pagi",0,"Preventive OK",0,0,0,818
2025-01-03,"M-03","Siang",0,"Preventive OK",0,0,0,863
2025-01-03,"M-04","Malam",0,"Preventive OK",0,0,0,777
2025-01-03,"M-04","Pagi",0,"Preventive OK",0,0,0,733
2025-01-03,"M-04","Siang",0,"Preventive OK",0,0,0,729
2025-01-03,"M-05","Malam",0,"Preventive OK",0,0,0,385
2025-01-03,"M-05","Pagi",0,"Preventive OK",0,0,0,381
2025-01-03,"M-05","Siang",0,"Preventive OK",0,0,0,372
2025-01-03,"M-06","Malam",0,"Preventive OK",0,0,0,402
2025-01-03,"M-06","Pagi",0,"Preventive OK",0,0,0,308
2025-01-03,"M-06","Siang",0,"Preventive OK",0,0,0,474
2025-01-04,"M-01","Malam",0,"Preventive OK",0,0,0,774
2025-01-04,"M-01","Pagi",0,"Preventive OK",0,0,0,739
2025-01-04,"M-01","Siang",0,"Preventive OK",0,0,0,846
2025-01-04,"M-02","Malam",0,"Preventive OK",0,0,0,817
2025-01-04,"M-02","Pagi",0,"Preventive OK",0,0,0,854
2025-01-04,"M-02","Siang",0,"Preventive OK",0,0,0,753
