"Tanggal","Produk","Permintaan","Aterpen","StokBegint","StokEnd","Stockout","Defisit"
2025-01-01,"P-01",7,0,144,137,0,0
2025-01-01,"P-02",5,0,198,193,0,0
2025-01-01,"P-03",26,0,660,634,0,0
2025-01-01,"P-04",39,0,840,801,0,0
2025-01-01,"P-05",51,0,2255,2204,0,0
2025-01-01,"P-06",49,0,2600,2551,0,0
2025-01-02,"P-01",21,0,137,116,0,0
2025-01-02,"P-02",7,0,193,186,0,0
2025-01-02,"P-03",29,0,634,605,0,0
2025-01-02,"P-04",38,0,801,763,0,0
2025-01-02,"P-05",53,0,2204,2151,0,0
2025-01-02,"P-06",49,0,2551,2502,0,0
2025-01-03,"P-01",3,0,116,113,0,0
2025-01-03,"P-02",4,0,186,182,0,0
2025-01-03,"P-03",27,0,605,578,0,0
2025-01-03,"P-04",45,0,763,718,0,0
2025-01-03,"P-05",52,0,2151,2099,0,0
2025-01-03,"P-06",65,0,2502,2437,0,0
2025-01-04,"P-01",14,0,113,99,0,0
2025-01-04,"P-02",14,0,182,168,0,0
2025-01-04,"P-03",31,0,578,547,0,0
2025-01-04,"P-04",41,0,718,677,0,0
2025-01-04,"P-05",56,0,2099,2043,0,0
2025-01-04,"P-06",55,0,2437,2382,0,0
2025-01-06,"P-01",15,0,99,84,0,0
2025-01-06,"P-02",13,0,168,155,0,0
2025-01-06,"P-03",29,0,547,518,0,0
2025-01-06,"P-04",45,0,677,632,0,0
2025-01-06,"P-05",44,0,2043,1999,0,0
2025-01-06,"P-06",63,0,2382,2319,0,0
2025-01-07,"P-01",10,0,84,74,0,0
2025-01-07,"P-02",9,0,155,146,0,0
2025-01-07,"P-03",34,0,518,484,0,0
2025-01-07,"P-04",32,0,632,600,0,0
2025-01-07,"P-05",50,0,1999,1949,0,0
2025-01-07,"P-06",62,0,2319,2257,0,0
2025-01-08,"P-01",4,0,74,70,0,0
2025-01-08,"P-02",9,0,146,137,0,0
2025-01-08,"P-03",34,0,484,450,0,0
2025-01-08,"P-04",36,0,600,564,0,0
2025-01-08,"P-05",53,0,1949,1896,0,0
2025-01-08,"P-06",75,0,2257,2182,0,0
2025-01-09,"P-01",2,0,70,68,0,0
2025-01-09,"P-02",2,0,137,135,0,0
2025-01-09,"P-03",21,0,450,429,0,0
2025-01-09,"P-04",38,0,564,526,0,0
2025-01-09,"P-05",55,0,1896,1841,0,0
2025-01-09,"P-06",73,0,2182,2109,0,0
2025-01-10,"P-01",2,0,68,66,0,0
2025-01-10,"P-02",2,0,135,133,0,0
2025-01-10,"P-03",41,0,429,388,0,0
2025-01-10,"P-04",44,0,526,482,0,0
2025-01-10,"P-05",55,0,1841,1786,0,0
2025-01-10,"P-06",73,0,2109,2036,0,0
2025-01-11,"P-01",3,42,108,105,0,0
2025-01-11,"P-02",4,0,133,129,0,0
2025-01-11,"P-03",17,0,388,371,0,0
2025-01-11,"P-04",42,0,482,440,0,0
2025-01-11,"P-05",58,0,1786,1728,0,0
2025-01-11,"P-06",54,0,2036,1982,0,0
2025-01-13,"P-01",8,0,105,97,0,0
2025-01-13,"P-02",1,0,129,128,0,0
2025-01-13,"P-03",33,0,371,338,0,0
2025-01-13,"P-04",37,0,440,403,0,0
2025-01-13,"P-05",66,0,1728,1662,0,0
2025-01-13,"P-06",58,0,1982,1924,0,0
2025-01-14,"P-01",2,0,97,95,0,0
2025-01-14,"P-02",17,0,128,111,0,0
2025-01-14,"P-03",31,0,338,307,0,0
2025-01-14,"P-04",28,0,403,375,0,0
2025-01-14,"P-05",43,0,1662,1619,0,0
2025-01-14,"P-06",66,455,2379,2313,0,0
2025-01-15,"P-01",4,0,95,91,0,0
2025-01-15,"P-02",30,0,111,81,0,0
2025-01-15,"P-03",24,0,307,283,0,0
2025-01-15,"P-04",45,0,375,330,0,0
2025-01-15,"P-05",61,0,1619,1558,0,0
2025-01-15,"P-06",59,0,2313,2254,0,0
2025-01-16,"P-01",3,0,91,88,0,0
2025-01-16,"P-02",17,0,81,64,0,0
2025-01-16,"P-03",29,0,283,254,0,0
2025-01-16,"P-04",44,280,610,566,0,0
2025-01-16,"P-05",52,385,1943,1891,0,0
2025-01-16,"P-06",56,0,2254,2198,0,0
2025-01-17,"P-01",5,0,88,83,0,0
2025-01-17,"P-02",4,0,64,60,0,0
2025-01-17,"P-03",33,0,254,221,0,0
2025-01-17,"P-04",46,0,566,520,0,0
2025-01-17,"P-05",45,0,1891,1846,0,0
2025-01-17,"P-06",62,0,2198,2136,0,0
2025-01-18,"P-01",7,0,83,76,0,0
2025-01-18,"P-02",6,0,60,54,0,0
2025-01-18,"P-03",27,210,431,404,0,0
2025-01-18,"P-04",43,0,520,477,0,0
2025-01-18,"P-05",52,0,1846,1794,0,0
2025-01-18,"P-06",63,0,2136,2073,0,0
2025-01-20,"P-01",5,0,76,71,0,0
2025-01-20,"P-02",8,0,54,46,0,0
2025-01-20,"P-03",36,0,404,368,0,0
2025-01-20,"P-04",46,0,477,431,0,0
2025-01-20,"P-05",50,0,1794,1744,0,0
2025-01-20,"P-06",70,0,2073,2003,0,0
2025-01-21,"P-01",21,0,71,50,0,0
2025-01-21,"P-02",0,0,46,46,0,0
2025-01-21,"P-03",29,0,368,339,0,0
2025-01-21,"P-04",46,0,431,385,0,0
2025-01-21,"P-05",61,0,1744,1683,0,0
2025-01-21,"P-06",65,0,2003,1938,0,0
2025-01-22,"P-01",4,0,50,46,0,0
2025-01-22,"P-02",21,0,46,25,0,0
2025-01-22,"P-03",32,0,339,307,0,0
2025-01-22,"P-04",43,0,385,342,0,0
2025-01-22,"P-05",53,0,1683,1630,0,0
2025-01-22,"P-06",56,0,1938,1882,0,0
2025-01-23,"P-01",8,0,46,38,0,0
2025-01-23,"P-02",14,0,25,11,0,0
2025-01-23,"P-03",26,0,307,281,0,0
2025-01-23,"P-04",49,280,622,573,0,0
2025-01-23,"P-05",46,0,1630,1584,0,0
