"Produk","Kategori","SL","SS_rec","ROP","Invest","Delta"
"P-01","Premium",0.9,44.6035795959682,118.065118057507,37913.0426565729,11895.4144514447
"P-02","Premium",0.9,51.7723374181679,136.088576734407,32098.8491992641,5960.81501122988
"P-03","Standar",0.9,159.40067200685,435.392124998303,28692.1209612331,-28083.2636541515
"P-04","Standar",0.9,145.202208216163,456.061182575137,13794.2097805355,-25581.2603049346
"P-05","Mass",0.9,72.1141929145079,290.721030521346,865.370314974095,-18809.2450696413
"P-06","Mass",0.9,85.4045308285198,280.91735134134,683.236246628159,-14957.7893943975
"P-01","Premium",0.95,57.248074635428,130.709613096966,48660.8634401138,22643.2352349856
"P-02","Premium",0.95,66.4490756888433,150.765315005083,41198.4269270828,15060.3927390486
"P-03","Standar",0.95,204.588547615367,480.58000060682,36825.9385707661,-19949.4460446185
"P-04","Standar",0.95,186.365016630621,497.223990989596,17704.676579909,-21670.7935055611
"P-05","Mass",0.95,92.5575645640912,311.164402170929,1110.69077476909,-18563.9246098463
"P-06","Mass",0.95,109.615528604721,305.128349117542,876.924228837771,-14764.1014121879
"P-01","Premium",0.98,71.4794125092982,144.940950970837,60757.5006329035,34739.8724277753
"P-02","Premium",0.98,82.9676966827637,167.283935999003,51439.9719433135,25301.9377552793
"P-03","Standar",0.98,255.447354043013,531.438807034466,45980.5237277424,-10794.8608876422
"P-04","Standar",0.98,232.693623075989,543.552597434964,22105.894192219,-17269.5758932511
"P-05","Mass",0.98,115.566512593917,334.173350200754,1386.798151127,-18287.8172334884
"P-06","Mass",0.98,136.864927536145,332.377748048965,1094.91942028916,-14546.1062207365
"P-01","Premium",0.99,80.9670444463132,154.428582907852,68821.9877793662,42804.359574238
"P-02","Premium",0.99,93.9801958227862,178.296435139026,58267.7214101275,32129.6872220933
"P-03","Standar",0.99,289.353487142935,565.344940134388,52083.6276857283,-4691.75692965633
"P-04","Standar",0.99,263.579599503794,574.438573862768,25040.0619528604,-14335.4081326097
"P-05","Mass",0.99,130.905929878479,349.512767485317,1570.87115854175,-18103.7442260736
"P-06","Mass",0.99,155.031333945546,350.544154458367,1240.25067156437,-14400.7749694613
