"Bulan","Produk","Permintaan","Stockout"
2025-01-01,"P-01",207,0
2025-01-01,"P-02",248,0
2025-01-01,"P-03",813,0
2025-01-01,"P-04",1102,0
2025-01-01,"P-05",1420,0
2025-01-01,"P-06",1689,0
2025-02-01,"P-01",111,8
2025-02-01,"P-02",260,0
2025-02-01,"P-03",699,0
2025-02-01,"P-04",937,0
2025-02-01,"P-05",1319,0
2025-02-01,"P-06",1455,0
2025-03-01,"P-01",177,0
2025-03-01,"P-02",206,3
2025-03-01,"P-03",1450,8
2025-03-01,"P-04",1983,7
2025-03-01,"P-05",1463,0
2025-03-01,"P-06",1692,0
2025-04-01,"P-01",196,5
2025-04-01,"P-02",210,0
2025-04-01,"P-03",820,0
2025-04-01,"P-04",1062,5
2025-04-01,"P-05",1421,0
2025-04-01,"P-06",1652,0
2025-05-01,"P-01",137,4
2025-05-01,"P-02",211,0
2025-05-01,"P-03",782,0
2025-05-01,"P-04",1055,0
2025-05-01,"P-05",1495,0
2025-05-01,"P-06",1716,0
2025-06-01,"P-01",146,0
2025-06-01,"P-02",183,0
2025-06-01,"P-03",1479,11
2025-06-01,"P-04",1930,12
2025-06-01,"P-05",1343,0
2025-06-01,"P-06",1668,0
2025-07-01,"P-01",152,0
2025-07-01,"P-02",278,2
2025-07-01,"P-03",767,1
2025-07-01,"P-04",1053,0
2025-07-01,"P-05",1432,0
2025-07-01,"P-06",1766,0
2025-08-01,"P-01",192,0
2025-08-01,"P-02",224,1
2025-08-01,"P-03",843,0
2025-08-01,"P-04",975,0
2025-08-01,"P-05",1489,0
2025-08-01,"P-06",1740,0
2025-09-01,"P-01",151,0
2025-09-01,"P-02",224,0
2025-09-01,"P-03",1542,11
2025-09-01,"P-04",2034,7
2025-09-01,"P-05",1453,0
2025-09-01,"P-06",1785,0
2025-10-01,"P-01",162,0
2025-10-01,"P-02",196,0
2025-10-01,"P-03",782,1
2025-10-01,"P-04",1039,3
2025-10-01,"P-05",1455,0
2025-10-01,"P-06",1787,0
2025-11-01,"P-01",166,1
2025-11-01,"P-02",232,3
2025-11-01,"P-03",780,0
2025-11-01,"P-04",1037,0
2025-11-01,"P-05",1373,0
2025-11-01,"P-06",1584,0
2025-12-01,"P-01",179,3
2025-12-01,"P-02",175,0
2025-12-01,"P-03",1557,12
2025-12-01,"P-04",2051,11
2025-12-01,"P-05",1437,0
2025-12-01,"P-06",1883,0
2026-01-01,"P-01",105,0
2026-01-01,"P-02",222,0
2026-01-01,"P-03",848,2
2026-01-01,"P-04",1037,3
2026-01-01,"P-05",1479,0
2026-01-01,"P-06",1788,0
2026-02-01,"P-01",155,0
2026-02-01,"P-02",196,0
2026-02-01,"P-03",709,0
2026-02-01,"P-04",960,0
2026-02-01,"P-05",1332,0
2026-02-01,"P-06",1548,0
2026-03-01,"P-01",156,1
2026-03-01,"P-02",189,0
2026-03-01,"P-03",1538,10
2026-03-01,"P-04",1923,12
2026-03-01,"P-05",1464,0
2026-03-01,"P-06",1711,0
2026-04-01,"P-01",148,0
2026-04-01,"P-02",304,0
2026-04-01,"P-03",802,0
2026-04-01,"P-04",1048,0
2026-04-01,"P-05",1421,0
2026-04-01,"P-06",1693,0
2026-05-01,"P-01",198,0
2026-05-01,"P-02",177,0
2026-05-01,"P-03",764,0
2026-05-01,"P-04",1040,0
2026-05-01,"P-05",1376,0
2026-05-01,"P-06",1631,0
2026-06-01,"P-01",127,0
2026-06-01,"P-02",211,0
2026-06-01,"P-03",1477,4
2026-06-01,"P-04",1981,9
2026-06-01,"P-05",1405,0
2026-06-01,"P-06",1712,0
