"Tanggal","SKU","Lokasi","Permintaan"
2023-01-01,"KK-ORI-BES-POU","Pabrik A",284
2023-01-01,"KK-ORI-BES-POU","Pabrik B",116
2023-01-01,"KK-ORI-KEC-SAC","Pabrik A",289
2023-01-01,"KK-ORI-KEC-SAC","Pabrik B",77
2023-01-01,"KK-ORI-SED-POU","Pabrik A",158
2023-01-01,"KK-ORI-SED-POU","Pabrik B",57
2023-01-01,"KK-ORI-SED-SAC","Pabrik A",214
2023-01-01,"KK-ORI-SED-SAC","Pabrik B",127
2023-01-01,"KK-PAP-BES-POU","Pabrik A",151
2023-01-01,"KK-PAP-BES-POU","Pabrik B",106
2023-01-01,"KK-PAP-KEC-SAC","Pabrik A",222
2023-01-01,"KK-PAP-KEC-SAC","Pabrik B",151
2023-01-01,"KK-PAP-SED-POU","Pabrik A",126
2023-01-01,"KK-PAP-SED-POU","Pabrik B",84
2023-01-01,"KK-PAP-SED-SAC","Pabrik A",196
2023-01-01,"KK-PAP-SED-SAC","Pabrik B",123
2023-01-01,"TB-JAS-BES-KAC","Pabrik A",337
2023-01-01,"TB-JAS-BES-KAC","Pabrik B",238
2023-01-01,"TB-JAS-KEC-PET","Pabrik A",465
2023-01-01,"TB-JAS-KEC-PET","Pabrik B",332
2023-01-01,"TB-JAS-SED-KAC","Pabrik A",316
2023-01-01,"TB-JAS-SED-KAC","Pabrik B",206
2023-01-01,"TB-JAS-SED-PET","Pabrik A",609
2023-01-01,"TB-JAS-SED-PET","Pabrik B",377
2023-01-01,"TB-PCH-BES-KAC","Pabrik A",273
2023-01-01,"TB-PCH-BES-KAC","Pabrik B",195
2023-01-01,"TB-PCH-KEC-PET","Pabrik A",303
2023-01-01,"TB-PCH-KEC-PET","Pabrik B",190
2023-01-01,"TB-PCH-SED-KAC","Pabrik A",205
2023-01-01,"TB-PCH-SED-KAC","Pabrik B",142
2023-01-01,"TB-PCH-SED-PET","Pabrik A",399
2023-01-01,"TB-PCH-SED-PET","Pabrik B",269
2023-02-01,"KK-ORI-BES-POU","Pabrik A",201
