"SKU","Produk","Kategori","Rasa","Ukuran","UrutanUkuran","JenisPacking","IsiKemasan","HargaSatuan","IsiPerKarton","KapasitasMesin"
"TB-JAS-KEC-PET","Teh Botol","Minuman","Jasmin","Kecil",1,"Botol PET","250 ml",6000,24,4000
"TB-JAS-SED-PET","Teh Botol","Minuman","Jasmin","Sedang",2,"Botol PET","450 ml",9000,12,4000
"TB-JAS-SED-KAC","Teh Botol","Minuman","Jasmin","Sedang",2,"Botol Kaca","450 ml",12000,12,4000
"TB-JAS-BES-KAC","Teh Botol","Minuman","Jasmin","Besar",3,"Botol Kaca","1.000 ml",18000,6,4000
"TB-PCH-KEC-PET","Teh Botol","Minuman","Peach","Kecil",1,"Botol PET","250 ml",6000,24,4000
"TB-PCH-SED-PET","Teh Botol","Minuman","Peach","Sedang",2,"Botol PET","450 ml",9000,12,4000
"TB-PCH-SED-KAC","Teh Botol","Minuman","Peach","Sedang",2,"Botol Kaca","450 ml",12000,12,4000
"TB-PCH-BES-KAC","Teh Botol","Minuman","Peach","Besar",3,"Botol Kaca","1.000 ml",18000,6,4000
"KK-ORI-KEC-SAC","Keripik Kentang","Makanan","Original","Kecil",1,"Sachet","60 g",6500,40,2200
"KK-ORI-SED-SAC","Keripik Kentang","Makanan","Original","Sedang",2,"Sachet","120 g",11000,24,2200
"KK-ORI-SED-POU","Keripik Kentang","Makanan","Original","Sedang",2,"Pouch","120 g",15000,24,2200
"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200
"KK-PAP-KEC-SAC","Keripik Kentang","Makanan","Paprika","Kecil",1,"Sachet","60 g",6500,40,2200
"KK-PAP-SED-SAC","Keripik Kentang","Makanan","Paprika","Sedang",2,"Sachet","120 g",11000,24,2200
"KK-PAP-SED-POU","Keripik Kentang","Makanan","Paprika","Sedang",2,"Pouch","120 g",15000,24,2200
"KK-PAP-BES-POU","Keripik Kentang","Makanan","Paprika","Besar",3,"Pouch","250 g",22000,12,2200
