"Tanggal","SKU","Produk","Kategori","Rasa","Ukuran","UrutanUkuran","JenisPacking","IsiKemasan","HargaSatuan","IsiPerKarton","KapasitasMesin","Lokasi","BulanKe","NamaBulan","AngkaBulan","Jenis","Permintaan","Plan","Skenario","Faktor"
2023-01-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",1,"Januari",0.760458029365592,"Riwayat",284,NA,"Normal",1
2023-01-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",1,"Januari",0.760458029365592,"Riwayat",284,NA,"Optimis",1.1
2023-01-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",1,"Januari",0.760458029365592,"Riwayat",284,NA,"Pesimis",0.9
2023-02-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",2,"Februari",0.788253763043679,"Riwayat",201,NA,"Normal",1
2023-02-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",2,"Februari",0.788253763043679,"Riwayat",201,NA,"Optimis",1.1
2023-02-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",2,"Februari",0.788253763043679,"Riwayat",201,NA,"Pesimis",0.9
2023-03-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",3,"Maret",0.901006556468741,"Riwayat",390,NA,"Normal",1
2023-03-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",3,"Maret",0.901006556468741,"Riwayat",390,NA,"Optimis",1.1
2023-03-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",3,"Maret",0.901006556468741,"Riwayat",390,NA,"Pesimis",0.9
2023-04-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",4,"April",0.93194200757226,"Riwayat",284,NA,"Normal",1
2023-04-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",4,"April",0.93194200757226,"Riwayat",284,NA,"Optimis",1.1
2023-04-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",4,"April",0.93194200757226,"Riwayat",284,NA,"Pesimis",0.9
2023-05-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",5,"Mei",1.00212392649367,"Riwayat",265,NA,"Normal",1
2023-05-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",5,"Mei",1.00212392649367,"Riwayat",265,NA,"Optimis",1.1
2023-05-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",5,"Mei",1.00212392649367,"Riwayat",265,NA,"Pesimis",0.9
2023-06-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",6,"Juni",1.14507341398098,"Riwayat",326,NA,"Normal",1
2023-06-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",6,"Juni",1.14507341398098,"Riwayat",326,NA,"Optimis",1.1
2023-06-01,"KK-ORI-BES-POU","Keripik Kentang","Makanan","Original","Besar",3,"Pouch","250 g",22000,12,2200,"Pabrik A",6,"Juni",1.14507341398098,"Riwayat",326,NA,"Pesimis",0.9
