"Tanggal","Produk","Permintaan"
2024-01-01,"Keripik Kentang",1931
2024-01-01,"Teh Botol",3868
2024-02-01,"Keripik Kentang",2624
2024-02-01,"Teh Botol",4007
2024-03-01,"Keripik Kentang",3063
2024-03-01,"Teh Botol",4999
2024-04-01,"Keripik Kentang",3023
2024-04-01,"Teh Botol",4941
2024-05-01,"Keripik Kentang",3328
2024-05-01,"Teh Botol",5746
2024-06-01,"Keripik Kentang",3302
2024-06-01,"Teh Botol",5618
2024-07-01,"Keripik Kentang",3051
2024-07-01,"Teh Botol",6068
2024-08-01,"Keripik Kentang",3329
2024-08-01,"Teh Botol",5833
2024-09-01,"Keripik Kentang",3030
2024-09-01,"Teh Botol",5380
2024-10-01,"Keripik Kentang",3316
2024-10-01,"Teh Botol",7250
2024-11-01,"Keripik Kentang",4318
2024-11-01,"Teh Botol",7350
2024-12-01,"Keripik Kentang",4529
2024-12-01,"Teh Botol",8313
2025-01-01,"Keripik Kentang",2697
2025-01-01,"Teh Botol",4504
2025-02-01,"Keripik Kentang",2744
2025-02-01,"Teh Botol",4779
2025-03-01,"Keripik Kentang",2842
2025-03-01,"Teh Botol",5467
2025-04-01,"Keripik Kentang",3168
2025-04-01,"Teh Botol",5702
2025-05-01,"Keripik Kentang",3061
2025-05-01,"Teh Botol",5806
2025-06-01,"Keripik Kentang",3533
2025-06-01,"Teh Botol",6510
2025-07-01,"Keripik Kentang",3984
2025-07-01,"Teh Botol",6510
2025-08-01,"Keripik Kentang",3627
2025-08-01,"Teh Botol",6177
2025-09-01,"Keripik Kentang",3062
2025-09-01,"Teh Botol",6201
2025-10-01,"Keripik Kentang",3319
2025-10-01,"Teh Botol",6909
2025-11-01,"Keripik Kentang",4206
2025-11-01,"Teh Botol",7341
2025-12-01,"Keripik Kentang",4626
2025-12-01,"Teh Botol",8378
