"Tanggal","Tahun","BulanKe","NamaBulan","Produk","Kategori","HargaSatuan","KapasitasMesin","Jenis","Permintaan","CekPlan","Plan","AngkaBulan","Skenario","FaktorSkenario"
2024-01-01,2024,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",1931,NA,NA,0.696699409130255,"Normal",1
2024-01-01,2024,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",1931,NA,NA,0.696699409130255,"Optimis",1.1
2024-01-01,2024,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",1931,NA,NA,0.696699409130255,"Pesimis",0.9
2024-02-01,2024,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2624,NA,NA,0.808099055361108,"Normal",1
2024-02-01,2024,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2624,NA,NA,0.808099055361108,"Optimis",1.1
2024-02-01,2024,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2624,NA,NA,0.808099055361108,"Pesimis",0.9
2024-03-01,2024,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3063,NA,NA,0.888939068909714,"Normal",1
2024-03-01,2024,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3063,NA,NA,0.888939068909714,"Optimis",1.1
2024-03-01,2024,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3063,NA,NA,0.888939068909714,"Pesimis",0.9
2024-04-01,2024,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3023,NA,NA,0.931993526777314,"Normal",1
2024-04-01,2024,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3023,NA,NA,0.931993526777314,"Optimis",1.1
2024-04-01,2024,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3023,NA,NA,0.931993526777314,"Pesimis",0.9
2024-05-01,2024,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3328,NA,NA,0.961800459147191,"Normal",1
2024-05-01,2024,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3328,NA,NA,0.961800459147191,"Optimis",1.1
2024-05-01,2024,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3328,NA,NA,0.961800459147191,"Pesimis",0.9
2024-06-01,2024,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3302,NA,NA,1.02894132701065,"Normal",1
2024-06-01,2024,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3302,NA,NA,1.02894132701065,"Optimis",1.1
2024-06-01,2024,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3302,NA,NA,1.02894132701065,"Pesimis",0.9
2024-07-01,2024,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3051,NA,NA,1.05904933950548,"Normal",1
2024-07-01,2024,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3051,NA,NA,1.05904933950548,"Optimis",1.1
2024-07-01,2024,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3051,NA,NA,1.05904933950548,"Pesimis",0.9
2024-08-01,2024,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3329,NA,NA,1.04715667457002,"Normal",1
2024-08-01,2024,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3329,NA,NA,1.04715667457002,"Optimis",1.1
2024-08-01,2024,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3329,NA,NA,1.04715667457002,"Pesimis",0.9
2024-09-01,2024,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3030,NA,NA,0.917090060592375,"Normal",1
2024-09-01,2024,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3030,NA,NA,0.917090060592375,"Optimis",1.1
2024-09-01,2024,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3030,NA,NA,0.917090060592375,"Pesimis",0.9
2024-10-01,2024,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3316,NA,NA,0.998833314515826,"Normal",1
2024-10-01,2024,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3316,NA,NA,0.998833314515826,"Optimis",1.1
2024-10-01,2024,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3316,NA,NA,0.998833314515826,"Pesimis",0.9
2024-11-01,2024,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4318,NA,NA,1.28320349252945,"Normal",1
2024-11-01,2024,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4318,NA,NA,1.28320349252945,"Optimis",1.1
2024-11-01,2024,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4318,NA,NA,1.28320349252945,"Pesimis",0.9
2024-12-01,2024,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4529,NA,NA,1.37819427195062,"Normal",1
2024-12-01,2024,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4529,NA,NA,1.37819427195062,"Optimis",1.1
2024-12-01,2024,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4529,NA,NA,1.37819427195062,"Pesimis",0.9
2025-01-01,2025,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2697,NA,NA,0.696699409130255,"Normal",1
2025-01-01,2025,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2697,NA,NA,0.696699409130255,"Optimis",1.1
2025-01-01,2025,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2697,NA,NA,0.696699409130255,"Pesimis",0.9
2025-02-01,2025,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2744,NA,NA,0.808099055361108,"Normal",1
2025-02-01,2025,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2744,NA,NA,0.808099055361108,"Optimis",1.1
2025-02-01,2025,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2744,NA,NA,0.808099055361108,"Pesimis",0.9
2025-03-01,2025,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2842,NA,NA,0.888939068909714,"Normal",1
2025-03-01,2025,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2842,NA,NA,0.888939068909714,"Optimis",1.1
2025-03-01,2025,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",2842,NA,NA,0.888939068909714,"Pesimis",0.9
2025-04-01,2025,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3168,NA,NA,0.931993526777314,"Normal",1
2025-04-01,2025,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3168,NA,NA,0.931993526777314,"Optimis",1.1
2025-04-01,2025,4,"Apr","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3168,NA,NA,0.931993526777314,"Pesimis",0.9
2025-05-01,2025,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3061,NA,NA,0.961800459147191,"Normal",1
2025-05-01,2025,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3061,NA,NA,0.961800459147191,"Optimis",1.1
2025-05-01,2025,5,"May","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3061,NA,NA,0.961800459147191,"Pesimis",0.9
2025-06-01,2025,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3533,NA,NA,1.02894132701065,"Normal",1
2025-06-01,2025,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3533,NA,NA,1.02894132701065,"Optimis",1.1
2025-06-01,2025,6,"Jun","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3533,NA,NA,1.02894132701065,"Pesimis",0.9
2025-07-01,2025,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3984,3446.14655075082,NA,1.05904933950548,"Normal",1
2025-07-01,2025,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3984,3446.14655075082,NA,1.05904933950548,"Optimis",1.1
2025-07-01,2025,7,"Jul","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3984,3446.14655075082,NA,1.05904933950548,"Pesimis",0.9
2025-08-01,2025,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3627,3692.27443453389,NA,1.04715667457002,"Normal",1
2025-08-01,2025,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3627,3692.27443453389,NA,1.04715667457002,"Optimis",1.1
2025-08-01,2025,8,"Aug","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3627,3692.27443453389,NA,1.04715667457002,"Pesimis",0.9
2025-09-01,2025,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3062,3406.68387841381,NA,0.917090060592375,"Normal",1
2025-09-01,2025,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3062,3406.68387841381,NA,0.917090060592375,"Optimis",1.1
2025-09-01,2025,9,"Sep","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3062,3406.68387841381,NA,0.917090060592375,"Pesimis",0.9
2025-10-01,2025,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3319,3553.51598860914,NA,0.998833314515826,"Normal",1
2025-10-01,2025,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3319,3553.51598860914,NA,0.998833314515826,"Optimis",1.1
2025-10-01,2025,10,"Oct","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",3319,3553.51598860914,NA,0.998833314515826,"Pesimis",0.9
2025-11-01,2025,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4206,4280.76685107824,NA,1.28320349252945,"Normal",1
2025-11-01,2025,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4206,4280.76685107824,NA,1.28320349252945,"Optimis",1.1
2025-11-01,2025,11,"Nov","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4206,4280.76685107824,NA,1.28320349252945,"Pesimis",0.9
2025-12-01,2025,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4626,4863.64758571375,NA,1.37819427195062,"Normal",1
2025-12-01,2025,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4626,4863.64758571375,NA,1.37819427195062,"Optimis",1.1
2025-12-01,2025,12,"Dec","Keripik Kentang","Makanan Ringan",15000,3800,"Riwayat",4626,4863.64758571375,NA,1.37819427195062,"Pesimis",0.9
2026-01-01,2026,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,2821.86484011391,0.696699409130255,"Normal",1
2026-01-01,2026,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,2821.86484011391,0.696699409130255,"Optimis",1.1
2026-01-01,2026,1,"Jan","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,2821.86484011391,0.696699409130255,"Pesimis",0.9
2026-02-01,2026,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,3273.07054056427,0.808099055361108,"Normal",1
2026-02-01,2026,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,3273.07054056427,0.808099055361108,"Optimis",1.1
2026-02-01,2026,2,"Feb","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,3273.07054056427,0.808099055361108,"Pesimis",0.9
2026-03-01,2026,3,"Mar","Keripik Kentang","Makanan Ringan",15000,3800,"Plan",NA,NA,3600.49954210731,0.888939068909714,"Normal",1
