"InspectionDate","Line","Product","Operator","Shift","DefectType","Inspected","Defect","CycleTimeSec"
2026-07-01,"A","Bracket","OP08","Pagi","NONE",121,2,43.4
2026-07-08,"A","Panel","OP02","Pagi","Color",130,15,40.8
2026-07-15,"A","Panel","OP05","Siang","Dimension",118,9,42.2
2026-07-22,"A","Housing","OP06","Siang","NONE",126,10,45.4
2026-07-29,"A","Bracket","OP06","Malam","NONE",116,6,41.6
2026-08-05,"A","Bracket","OP08","Siang","NONE",134,3,43.5
2026-08-12,"A","Bracket","OP06","Malam","Scratch",132,6,43.8
2026-08-19,"A","Bracket","OP07","Pagi","Scratch",130,5,43.4
2026-08-26,"A","Housing","OP04","Siang","NONE",133,4,53.9
2026-09-02,"A","Housing","OP05","Siang","Scratch",138,10,48.7
2026-09-09,"A","Housing","OP04","Malam","Dimension",123,3,51.1
2026-09-16,"A","Bracket","OP05","Siang","NONE",121,8,43.7
2026-09-23,"A","Panel","OP04","Siang","NONE",116,3,41.1
2026-09-30,"A","Bracket","OP05","Malam","Color",116,3,43.5
2026-10-07,"A","Bracket","OP04","Malam","NONE",123,6,45.8
2026-10-14,"A","Bracket","OP05","Pagi","Crack",115,0,42.4
2026-10-21,"A","Housing","OP08","Pagi","Dimension",125,3,50.3
2026-10-28,"A","Housing","OP06","Malam","NONE",134,4,48.6
2026-11-04,"A","Bracket","OP08","Malam","NONE",115,7,42.2
2026-11-11,"A","Bracket","OP04","Pagi","NONE",128,3,40.9
2026-07-01,"B","Panel","OP01","Malam","Crack",131,6,44
2026-07-08,"B","Bracket","OP07","Malam","Crack",123,15,45.1
2026-07-15,"B","Bracket","OP05","Pagi","Crack",126,6,40.1
2026-07-22,"B","Panel","OP06","Siang","Crack",123,9,45.1
2026-07-29,"B","Housing","OP01","Siang","Dimension",126,4,48
2026-08-05,"B","Bracket","OP01","Malam","NONE",149,7,45.1
2026-08-12,"B","Bracket","OP07","Pagi","Dimension",122,5,41.3
2026-08-19,"B","Bracket","OP01","Siang","Scratch",129,8,45.9
2026-08-26,"B","Housing","OP01","Siang","Scratch",125,5,53
2026-09-02,"B","Bracket","OP08","Malam","Dimension",141,9,43.9
2026-09-09,"B","Housing","OP02","Siang","NONE",131,3,51.2
2026-09-16,"B","Bracket","OP03","Siang","Crack",140,4,44
2026-09-23,"B","Bracket","OP01","Siang","Crack",138,3,44.2
2026-09-30,"B","Bracket","OP04","Pagi","Crack",126,5,47.3
2026-10-07,"B","Panel","OP04","Pagi","NONE",122,9,45.7
2026-10-14,"B","Housing","OP04","Malam","Crack",116,3,53.5
2026-10-21,"B","Bracket","OP08","Pagi","Scratch",129,7,43
2026-10-28,"B","Bracket","OP08","Pagi","Scratch",111,3,45.9
2026-11-04,"B","Panel","OP06","Malam","NONE",119,4,48.4
2026-11-11,"B","Bracket","OP02","Pagi","Dimension",126,9,43.7
2026-07-01,"C","Housing","OP03","Siang","NONE",122,4,48.1
2026-07-08,"C","Bracket","OP01","Malam","NONE",114,2,46.4
2026-07-15,"C","Housing","OP08","Pagi","NONE",113,6,49
2026-07-22,"C","Bracket","OP07","Pagi","Dimension",121,3,45.6
2026-07-29,"C","Housing","OP07","Pagi","Dimension",123,2,50
2026-08-05,"C","Panel","OP02","Siang","NONE",127,2,48.2
2026-08-12,"C","Housing","OP08","Siang","Scratch",136,5,49.2
2026-08-19,"C","Panel","OP07","Pagi","NONE",130,3,44.3
2026-08-26,"C","Panel","OP01","Malam","NONE",121,3,46.8
2026-09-02,"C","Panel","OP02","Siang","Dimension",127,7,43
2026-09-09,"C","Bracket","OP01","Malam","NONE",119,2,48.4
2026-09-16,"C","Housing","OP07","Malam","Crack",136,3,51.1
2026-09-23,"C","Bracket","OP07","Pagi","NONE",111,6,42.7
2026-09-30,"C","Bracket","OP08","Pagi","NONE",135,2,42.5
2026-10-07,"C","Panel","OP05","Siang","NONE",116,7,42.6
2026-10-14,"C","Bracket","OP07","Siang","Color",112,3,46
2026-10-21,"C","Bracket","OP03","Pagi","Scratch",130,6,44
2026-10-28,"C","Panel","OP07","Malam","Color",131,5,45.9
2026-11-04,"C","Housing","OP07","Pagi","NONE",122,4,47.7
2026-11-11,"C","Bracket","OP06","Pagi","NONE",116,1,43.6
2026-07-01,"A","Panel","OP07","Malam","NONE",125,2,45.8
2026-07-08,"A","Panel","OP07","Malam","Dimension",127,3,41.8
2026-07-15,"A","Housing","OP01","Pagi","Scratch",123,7,50.9
2026-07-22,"A","Panel","OP04","Pagi","Scratch",110,4,39.7
2026-07-29,"A","Bracket","OP01","Pagi","Crack",126,2,41.4
2026-08-05,"A","Bracket","OP02","Pagi","Scratch",132,8,42.4
2026-08-12,"A","Housing","OP06","Malam","Color",133,9,50.9
2026-08-19,"A","Panel","OP06","Malam","Color",144,4,45.5
2026-08-26,"A","Bracket","OP07","Malam","NONE",109,9,44
2026-09-02,"A","Housing","OP06","Malam","NONE",127,7,49
2026-09-09,"A","Panel","OP07","Malam","NONE",141,6,44.6
2026-09-16,"A","Bracket","OP05","Malam","NONE",127,2,45.1
2026-09-23,"A","Housing","OP05","Pagi","Color",116,3,47
2026-09-30,"A","Bracket","OP08","Malam","Crack",147,7,42.9
2026-10-07,"A","Housing","OP04","Pagi","Crack",152,4,50.4
2026-10-14,"A","Panel","OP07","Siang","Color",139,4,41.5
2026-10-21,"A","Housing","OP08","Siang","Crack",116,2,49.4
2026-10-28,"A","Housing","OP07","Malam","NONE",115,6,51.5
2026-11-04,"A","Housing","OP05","Malam","Color",127,7,48.1
2026-11-11,"A","Panel","OP06","Pagi","NONE",112,8,46.1
2026-07-01,"B","Panel","OP07","Pagi","Crack",124,10,43.6
2026-07-08,"B","Housing","OP03","Malam","Scratch",128,7,55.1
2026-07-15,"B","Panel","OP01","Malam","Scratch",100,6,48.4
2026-07-22,"B","Bracket","OP07","Malam","Crack",130,4,48
2026-07-29,"B","Panel","OP06","Siang","Scratch",129,14,45.6
2026-08-05,"B","Bracket","OP05","Malam","Scratch",116,3,47.8
2026-08-12,"B","Panel","OP07","Siang","Crack",138,9,43.4
2026-08-19,"B","Bracket","OP04","Malam","Scratch",132,5,46.3
2026-08-26,"B","Panel","OP04","Malam","Scratch",123,4,46.3
2026-09-02,"B","Panel","OP07","Siang","Crack",127,10,49.9
2026-09-09,"B","Housing","OP07","Siang","Dimension",127,6,47.2
2026-09-16,"B","Bracket","OP02","Pagi","Dimension",126,5,44.6
2026-09-23,"B","Bracket","OP04","Pagi","Dimension",132,9,46.9
2026-09-30,"B","Housing","OP06","Siang","Dimension",141,10,51.4
2026-10-07,"B","Housing","OP03","Pagi","Scratch",137,5,47.9
2026-10-14,"B","Housing","OP07","Siang","Scratch",136,8,52
2026-10-21,"B","Housing","OP01","Siang","Crack",114,7,46.6
2026-10-28,"B","Bracket","OP04","Siang","Dimension",122,5,47.2
2026-11-04,"B","Panel","OP08","Pagi","NONE",122,4,43.4
2026-11-11,"B","Bracket","OP08","Pagi","Crack",138,7,45.2
2026-07-01,"C","Panel","OP02","Siang","Color",133,3,44.3
2026-07-08,"C","Bracket","OP04","Malam","Color",142,3,46.2
2026-07-15,"C","Panel","OP04","Siang","Scratch",122,6,43.8
2026-07-22,"C","Bracket","OP06","Pagi","NONE",118,2,40.9
2026-07-29,"C","Panel","OP02","Malam","NONE",145,5,45
2026-08-05,"C","Bracket","OP03","Malam","NONE",129,3,46.6
2026-08-12,"C","Panel","OP02","Siang","NONE",140,7,42.8
2026-08-19,"C","Bracket","OP03","Malam","Dimension",115,1,47.5
2026-08-26,"C","Bracket","OP08","Siang","NONE",121,3,44.4
2026-09-02,"C","Housing","OP04","Pagi","Crack",112,2,48
2026-09-09,"C","Bracket","OP03","Malam","Color",126,6,44.2
2026-09-16,"C","Bracket","OP04","Siang","NONE",126,2,44.9
2026-09-23,"C","Bracket","OP01","Pagi","NONE",119,4,44.3
2026-09-30,"C","Panel","OP02","Pagi","NONE",136,2,44
2026-10-07,"C","Housing","OP06","Malam","NONE",120,0,50.5
2026-10-14,"C","Bracket","OP05","Siang","Dimension",117,2,41.6
2026-10-21,"C","Bracket","OP07","Pagi","Scratch",112,3,44.7
2026-10-28,"C","Housing","OP05","Siang","Dimension",121,3,48.9
2026-11-04,"C","Panel","OP04","Siang","Crack",116,4,49.5
2026-11-11,"C","Panel","OP01","Siang","NONE",134,4,46.1
2026-07-01,"A","Panel","OP04","Siang","Color",145,9,44.4
2026-07-08,"A","Bracket","OP08","Siang","Dimension",107,2,40.5
2026-07-15,"A","Panel","OP02","Siang","Crack",133,4,48.4
2026-07-22,"A","Bracket","OP08","Malam","Crack",137,4,44
2026-07-29,"A","Bracket","OP05","Siang","Scratch",120,5,40.9
2026-08-05,"A","Housing","OP08","Pagi","Color",135,4,48.3
2026-08-12,"A","Panel","OP06","Siang","Color",126,4,40.1
2026-08-19,"A","Panel","OP07","Siang","Scratch",129,5,40.5
2026-08-26,"A","Bracket","OP01","Pagi","NONE",139,4,42.9
2026-09-02,"A","Bracket","OP04","Siang","NONE",111,4,40.2
2026-09-09,"A","Panel","OP07","Pagi","NONE",125,8,41.9
2026-09-16,"A","Housing","OP08","Pagi","NONE",140,18,47.8
2026-09-23,"A","Bracket","OP01","Siang","Dimension",124,4,40.7
2026-09-30,"A","Panel","OP05","Pagi","NONE",113,4,36.2
2026-10-07,"A","Bracket","OP07","Siang","Dimension",128,3,45.4
2026-10-14,"A","Housing","OP07","Pagi","Scratch",128,7,49.1
2026-10-21,"A","Housing","OP08","Pagi","NONE",107,4,50.2
