"Operator","CycleTimeSebelum","CycleTimeSesudah","Selisih"
"OP01",45,38.4,6.6
"OP02",55.5,51.3,4.2
"OP03",49.9,44.1,5.8
"OP04",52.2,47.7,4.5
"OP05",49.7,45.8,3.90000000000001
"OP06",51.9,48.4,3.5
"OP07",51.7,47.2,4.5
"OP08",52.1,49,3.1
"OP09",45.2,42.1,3.1
"OP10",54.2,52,2.2
"OP11",55.7,54.2,1.5
"OP12",58.9,51.9,7
"OP13",42.9,39.9,3
"OP14",52.5,44.4,8.1
"OP15",46,41.5,4.5
"OP16",51.8,45.1,6.7
"OP17",44.5,37.8,6.7
"OP18",50.2,45.6,4.6
"OP19",42.9,41.1,1.8
"OP20",49.4,42.7,6.7
"OP21",50.7,47.4,3.3
"OP22",46.6,41.2,5.4
"OP23",53.4,46.9,6.5
"OP24",42.9,37.1,5.8
"OP25",53.7,50.9,2.8
"OP26",50.1,45.2,4.9
"OP27",50.3,41.4,8.9
"OP28",49.7,46.7,3
"OP29",53.6,47.9,5.7
"OP30",52.4,49.6,2.8
