"Tanggal","Shift","Line","Operator","Product","Inspected","Defect","DefectRate","CycleTimeSec"
2026-07-01,"Malam","A","OP05","Panel",163,7,0.0429447852760736,44.8
2026-07-01,"Malam","B","OP08","Panel",120,19,0.158333333333333,51.9
2026-07-01,"Malam","C","OP02","Housing",122,3,0.0245901639344262,45.4
2026-07-01,"Pagi","A","OP07","Housing",126,2,0.0158730158730159,48.7
2026-07-01,"Pagi","B","OP06","Panel",128,19,0.1484375,53
2026-07-01,"Pagi","C","OP04","Panel",143,7,0.048951048951049,42.5
2026-07-01,"Siang","A","OP06","Panel",136,2,0.0147058823529412,44.2
2026-07-01,"Siang","B","OP01","Panel",122,8,0.0655737704918033,49.4
2026-07-01,"Siang","C","OP03","Housing",148,7,0.0472972972972973,46.5
2026-07-08,"Malam","A","OP03","Bracket",118,2,0.0169491525423729,42.6
2026-07-08,"Malam","B","OP04","Panel",134,26,0.194029850746269,50.9
2026-07-08,"Malam","C","OP07","Bracket",125,3,0.024,37.9
2026-07-08,"Pagi","A","OP01","Panel",146,3,0.0205479452054795,39.6
2026-07-08,"Pagi","B","OP05","Bracket",131,9,0.0687022900763359,48.8
2026-07-08,"Pagi","C","OP08","Panel",120,1,0.00833333333333333,37.9
2026-07-08,"Siang","A","OP08","Bracket",145,6,0.0413793103448276,50.2
2026-07-08,"Siang","B","OP07","Bracket",122,14,0.114754098360656,50.4
2026-07-08,"Siang","C","OP08","Bracket",153,2,0.0130718954248366,41.6
2026-07-15,"Malam","A","OP04","Panel",129,9,0.0697674418604651,48
2026-07-15,"Malam","B","OP02","Panel",136,12,0.0882352941176471,49.3
2026-07-15,"Malam","C","OP02","Bracket",126,11,0.0873015873015873,42.5
2026-07-15,"Pagi","A","OP03","Panel",128,4,0.03125,44
2026-07-15,"Pagi","B","OP01","Bracket",117,8,0.0683760683760684,49.3
2026-07-15,"Pagi","C","OP04","Bracket",125,4,0.032,39.2
2026-07-15,"Siang","A","OP07","Panel",132,2,0.0151515151515152,44.2
2026-07-15,"Siang","B","OP01","Bracket",116,4,0.0344827586206897,52.1
2026-07-15,"Siang","C","OP03","Bracket",130,5,0.0384615384615385,43.1
2026-07-22,"Malam","A","OP04","Housing",134,7,0.0522388059701493,52.7
2026-07-22,"Malam","B","OP03","Panel",119,22,0.184873949579832,51.8
2026-07-22,"Malam","C","OP03","Bracket",126,5,0.0396825396825397,40.6
2026-07-22,"Pagi","A","OP04","Bracket",143,4,0.027972027972028,40.8
2026-07-22,"Pagi","B","OP07","Housing",149,11,0.0738255033557047,55.2
2026-07-22,"Pagi","C","OP03","Panel",131,4,0.0305343511450382,40.9
2026-07-22,"Siang","A","OP07","Panel",139,8,0.0575539568345324,45.8
2026-07-22,"Siang","B","OP04","Panel",106,21,0.19811320754717,51.9
2026-07-22,"Siang","C","OP03","Bracket",153,3,0.0196078431372549,45.4
2026-07-29,"Malam","A","OP06","Bracket",127,6,0.047244094488189,42.7
2026-07-29,"Malam","B","OP08","Panel",117,21,0.17948717948718,57.5
2026-07-29,"Malam","C","OP04","Housing",110,5,0.0454545454545455,45.2
2026-07-29,"Pagi","A","OP01","Bracket",132,3,0.0227272727272727,40.8
2026-07-29,"Pagi","B","OP03","Bracket",135,10,0.0740740740740741,49
2026-07-29,"Pagi","C","OP05","Panel",112,6,0.0535714285714286,44.3
2026-07-29,"Siang","A","OP06","Housing",111,3,0.027027027027027,53.1
2026-07-29,"Siang","B","OP01","Bracket",139,10,0.0719424460431655,47.7
2026-07-29,"Siang","C","OP01","Bracket",135,1,0.00740740740740741,42.4
2026-08-05,"Malam","A","OP04","Bracket",128,9,0.0703125,45.2
2026-08-05,"Malam","B","OP01","Bracket",123,9,0.0731707317073171,54.2
2026-08-05,"Malam","C","OP04","Bracket",115,7,0.0608695652173913,43.1
2026-08-05,"Pagi","A","OP02","Bracket",124,4,0.032258064516129,42.7
2026-08-05,"Pagi","B","OP06","Panel",154,14,0.0909090909090909,51.2
2026-08-05,"Pagi","C","OP06","Bracket",117,7,0.0598290598290598,40.6
2026-08-05,"Siang","A","OP05","Housing",125,5,0.04,49.8
2026-08-05,"Siang","B","OP01","Housing",123,7,0.056910569105691,57.8
2026-08-05,"Siang","C","OP08","Panel",131,5,0.0381679389312977,40.7
2026-08-12,"Malam","A","OP01","Bracket",121,7,0.0578512396694215,43
2026-08-12,"Malam","B","OP03","Housing",149,17,0.114093959731544,57.6
2026-08-12,"Malam","C","OP03","Panel",135,14,0.103703703703704,43.1
2026-08-12,"Pagi","A","OP05","Panel",127,3,0.0236220472440945,44.6
2026-08-12,"Pagi","B","OP02","Bracket",140,10,0.0714285714285714,49.7
2026-08-12,"Pagi","C","OP06","Panel",129,11,0.0852713178294574,42
2026-08-12,"Siang","A","OP02","Bracket",128,5,0.0390625,42.8
2026-08-12,"Siang","B","OP01","Panel",123,13,0.105691056910569,50.8
2026-08-12,"Siang","C","OP05","Panel",127,1,0.0078740157480315,38.3
2026-08-19,"Malam","A","OP01","Panel",118,4,0.0338983050847458,41.6
2026-08-19,"Malam","B","OP08","Bracket",100,8,0.08,50.6
2026-08-19,"Malam","C","OP03","Housing",146,10,0.0684931506849315,50.6
2026-08-19,"Pagi","A","OP01","Bracket",137,2,0.0145985401459854,41.9
2026-08-19,"Pagi","B","OP08","Bracket",148,15,0.101351351351351,50.5
2026-08-19,"Pagi","C","OP05","Panel",134,0,0,40.8
2026-08-19,"Siang","A","OP02","Housing",122,4,0.0327868852459016,49.4
2026-08-19,"Siang","B","OP05","Panel",148,4,0.027027027027027,48.2
2026-08-19,"Siang","C","OP07","Bracket",141,4,0.0283687943262411,40.8
2026-08-26,"Malam","A","OP08","Panel",143,4,0.027972027972028,42.3
2026-08-26,"Malam","B","OP04","Bracket",108,15,0.138888888888889,54.5
2026-08-26,"Malam","C","OP08","Bracket",124,3,0.0241935483870968,44.5
2026-08-26,"Pagi","A","OP06","Housing",120,1,0.00833333333333333,48.5
2026-08-26,"Pagi","B","OP06","Housing",109,7,0.0642201834862385,55.5
2026-08-26,"Pagi","C","OP08","Panel",135,2,0.0148148148148148,45.1
2026-08-26,"Siang","A","OP07","Bracket",127,4,0.031496062992126,45.8
2026-08-26,"Siang","B","OP08","Bracket",137,10,0.072992700729927,49.1
2026-08-26,"Siang","C","OP01","Panel",145,4,0.0275862068965517,42.1
2026-09-02,"Malam","A","OP01","Bracket",131,8,0.0610687022900763,43.8
2026-09-02,"Malam","B","OP06","Housing",114,25,0.219298245614035,52.7
2026-09-02,"Malam","C","OP04","Housing",140,9,0.0642857142857143,45.4
2026-09-02,"Pagi","A","OP02","Bracket",125,3,0.024,39.5
2026-09-02,"Pagi","B","OP08","Bracket",140,10,0.0714285714285714,45.6
2026-09-02,"Pagi","C","OP02","Housing",145,2,0.0137931034482759,48.1
2026-09-02,"Siang","A","OP04","Bracket",132,6,0.0454545454545455,44.4
2026-09-02,"Siang","B","OP02","Bracket",130,6,0.0461538461538462,49.3
2026-09-02,"Siang","C","OP05","Bracket",116,2,0.0172413793103448,45.9
2026-09-09,"Malam","A","OP05","Panel",139,6,0.0431654676258993,43.5
2026-09-09,"Malam","B","OP05","Bracket",135,7,0.0518518518518519,48.2
2026-09-09,"Malam","C","OP06","Panel",129,13,0.10077519379845,47
2026-09-09,"Pagi","A","OP04","Housing",134,3,0.0223880597014925,48.5
2026-09-09,"Pagi","B","OP06","Panel",133,36,0.270676691729323,56.4
2026-09-09,"Pagi","C","OP07","Panel",118,6,0.0508474576271186,38.4
2026-09-09,"Siang","A","OP05","Bracket",122,2,0.0163934426229508,46.9
2026-09-09,"Siang","B","OP01","Housing",93,4,0.043010752688172,55.3
2026-09-09,"Siang","C","OP06","Bracket",132,2,0.0151515151515152,40.9
2026-09-16,"Malam","A","OP01","Panel",132,7,0.053030303030303,50.7
2026-09-16,"Malam","B","OP06","Housing",122,32,0.262295081967213,58.8
2026-09-16,"Malam","C","OP03","Panel",130,4,0.0307692307692308,38.5
2026-09-16,"Pagi","A","OP05","Bracket",125,5,0.04,45.3
2026-09-16,"Pagi","B","OP01","Bracket",115,2,0.0173913043478261,47
2026-09-16,"Pagi","C","OP08","Bracket",137,2,0.0145985401459854,40.5
2026-09-16,"Siang","A","OP04","Panel",127,5,0.0393700787401575,44.7
2026-09-16,"Siang","B","OP04","Panel",141,14,0.099290780141844,52.1
2026-09-16,"Siang","C","OP02","Panel",126,4,0.0317460317460317,46.5
2026-09-23,"Malam","A","OP03","Housing",130,6,0.0461538461538462,53.7
2026-09-23,"Malam","B","OP05","Housing",141,14,0.099290780141844,57.9
2026-09-23,"Malam","C","OP06","Housing",133,3,0.0225563909774436,48.4
2026-09-23,"Pagi","A","OP07","Housing",134,1,0.00746268656716418,45.4
2026-09-23,"Pagi","B","OP04","Housing",119,10,0.0840336134453782,55
2026-09-23,"Pagi","C","OP06","Bracket",138,5,0.036231884057971,38.3
2026-09-23,"Siang","A","OP07","Panel",134,4,0.0298507462686567,49.5
2026-09-23,"Siang","B","OP05","Bracket",131,14,0.106870229007634,54.9
2026-09-23,"Siang","C","OP02","Panel",101,2,0.0198019801980198,42.7
2026-09-30,"Malam","A","OP02","Panel",141,3,0.0212765957446809,45
2026-09-30,"Malam","B","OP01","Panel",118,11,0.0932203389830508,51.7
2026-09-30,"Malam","C","OP03","Bracket",136,3,0.0220588235294118,41
2026-09-30,"Pagi","A","OP08","Bracket",133,4,0.0300751879699248,38.8
2026-09-30,"Pagi","B","OP07","Panel",140,10,0.0714285714285714,53.2
2026-09-30,"Pagi","C","OP05","Panel",111,2,0.018018018018018,44.2
2026-09-30,"Siang","A","OP02","Panel",127,2,0.015748031496063,45
2026-09-30,"Siang","B","OP07","Bracket",141,15,0.106382978723404,54.8
2026-09-30,"Siang","C","OP04","Panel",120,5,0.0416666666666667,40.5
2026-10-07,"Malam","A","OP02","Panel",131,9,0.0687022900763359,48
2026-10-07,"Malam","B","OP05","Bracket",132,9,0.0681818181818182,55.6
2026-10-07,"Malam","C","OP08","Panel",130,7,0.0538461538461538,44.1
2026-10-07,"Pagi","A","OP06","Bracket",118,1,0.00847457627118644,40.6
2026-10-07,"Pagi","B","OP02","Panel",132,22,0.166666666666667,53.9
2026-10-07,"Pagi","C","OP02","Bracket",140,3,0.0214285714285714,40.5
2026-10-07,"Siang","A","OP01","Bracket",151,3,0.0198675496688742,44.9
2026-10-07,"Siang","B","OP01","Housing",119,7,0.0588235294117647,56
2026-10-07,"Siang","C","OP06","Panel",134,8,0.0597014925373134,42.7
2026-10-14,"Malam","A","OP06","Panel",148,10,0.0675675675675676,44.1
2026-10-14,"Malam","B","OP01","Bracket",123,13,0.105691056910569,49.7
2026-10-14,"Malam","C","OP02","Panel",144,11,0.0763888888888889,48.5
2026-10-14,"Pagi","A","OP08","Panel",125,2,0.016,42.1
2026-10-14,"Pagi","B","OP08","Bracket",129,9,0.0697674418604651,49.4
2026-10-14,"Pagi","C","OP06","Bracket",141,8,0.0567375886524823,41.6
2026-10-14,"Siang","A","OP02","Bracket",111,5,0.045045045045045,40.3
2026-10-14,"Siang","B","OP01","Bracket",130,8,0.0615384615384615,51.7
2026-10-14,"Siang","C","OP08","Panel",93,4,0.043010752688172,43.4
2026-10-21,"Malam","A","OP06","Bracket",150,2,0.0133333333333333,41.2
2026-10-21,"Malam","B","OP02","Bracket",131,12,0.0916030534351145,51.7
2026-10-21,"Malam","C","OP06","Housing",115,3,0.0260869565217391,46.6
2026-10-21,"Pagi","A","OP03","Bracket",128,2,0.015625,43.8
2026-10-21,"Pagi","B","OP04","Bracket",149,17,0.114093959731544,46.4
2026-10-21,"Pagi","C","OP07","Housing",121,3,0.0247933884297521,43
2026-10-21,"Siang","A","OP03","Housing",136,2,0.0147058823529412,47.7
2026-10-21,"Siang","B","OP02","Panel",144,13,0.0902777777777778,54.8
2026-10-21,"Siang","C","OP06","Panel",135,6,0.0444444444444444,42.3
2026-10-28,"Malam","A","OP01","Bracket",120,4,0.0333333333333333,42.6
2026-10-28,"Malam","B","OP05","Bracket",137,11,0.0802919708029197,55.9
2026-10-28,"Malam","C","OP08","Housing",144,7,0.0486111111111111,45.9
2026-10-28,"Pagi","A","OP07","Bracket",133,4,0.0300751879699248,38.7
2026-10-28,"Pagi","B","OP01","Housing",122,8,0.0655737704918033,53.4
2026-10-28,"Pagi","C","OP07","Housing",97,3,0.0309278350515464,41.5
2026-10-28,"Siang","A","OP02","Bracket",124,4,0.032258064516129,45.5
2026-10-28,"Siang","B","OP08","Bracket",149,8,0.0536912751677852,48.1
2026-10-28,"Siang","C","OP07","Panel",123,2,0.016260162601626,42.2
2026-11-04,"Malam","A","OP08","Panel",137,8,0.0583941605839416,43.4
2026-11-04,"Malam","B","OP08","Panel",141,20,0.141843971631206,49.8
2026-11-04,"Malam","C","OP03","Panel",117,12,0.102564102564103,43.9
2026-11-04,"Pagi","A","OP03","Panel",132,3,0.0227272727272727,40.9
2026-11-04,"Pagi","B","OP06","Bracket",137,18,0.131386861313869,50.2
2026-11-04,"Pagi","C","OP08","Bracket",145,3,0.0206896551724138,42.1
2026-11-04,"Siang","A","OP05","Panel",129,4,0.0310077519379845,46.6
2026-11-04,"Siang","B","OP05","Panel",111,11,0.0990990990990991,53.2
2026-11-04,"Siang","C","OP04","Panel",132,9,0.0681818181818182,44.7
2026-11-11,"Malam","A","OP07","Bracket",128,4,0.03125,46.8
2026-11-11,"Malam","B","OP08","Bracket",126,13,0.103174603174603,50
2026-11-11,"Malam","C","OP08","Panel",128,8,0.0625,46.9
2026-11-11,"Pagi","A","OP05","Bracket",123,3,0.024390243902439,37.7
2026-11-11,"Pagi","B","OP07","Housing",128,14,0.109375,56.2
2026-11-11,"Pagi","C","OP07","Panel",112,5,0.0446428571428571,35.8
2026-11-11,"Siang","A","OP01","Housing",142,3,0.0211267605633803,50.4
2026-11-11,"Siang","B","OP05","Bracket",140,12,0.0857142857142857,52.3
2026-11-11,"Siang","C","OP02","Panel",125,3,0.024,40.7
2026-11-18,"Malam","A","OP08","Bracket",126,9,0.0714285714285714,41.7
2026-11-18,"Malam","B","OP02","Panel",127,22,0.173228346456693,52.8
2026-11-18,"Malam","C","OP08","Housing",118,2,0.0169491525423729,48.2
2026-11-18,"Pagi","A","OP06","Housing",121,3,0.0247933884297521,48
2026-11-18,"Pagi","B","OP02","Bracket",118,6,0.0508474576271186,43.4
2026-11-18,"Pagi","C","OP02","Bracket",134,3,0.0223880597014925,41.7
2026-11-18,"Siang","A","OP07","Bracket",124,2,0.0161290322580645,45.2
2026-11-18,"Siang","B","OP01","Panel",119,7,0.0588235294117647,52.5
2026-11-18,"Siang","C","OP05","Bracket",124,2,0.0161290322580645,40.6
2026-11-25,"Malam","A","OP03","Panel",108,4,0.037037037037037,51.1
2026-11-25,"Malam","B","OP05","Housing",122,12,0.0983606557377049,55.7
2026-11-25,"Malam","C","OP06","Bracket",155,10,0.0645161290322581,40.8
2026-11-25,"Pagi","A","OP07","Bracket",142,3,0.0211267605633803,46.5
2026-11-25,"Pagi","B","OP06","Bracket",123,11,0.0894308943089431,47.8
2026-11-25,"Pagi","C","OP04","Bracket",137,7,0.0510948905109489,39.5
2026-11-25,"Siang","A","OP03","Housing",120,3,0.025,48.1
2026-11-25,"Siang","B","OP06","Panel",121,22,0.181818181818182,53.7
2026-11-25,"Siang","C","OP06","Panel",127,7,0.0551181102362205,43.4
2026-12-02,"Malam","A","OP05","Housing",113,2,0.0176991150442478,54.6
2026-12-02,"Malam","B","OP05","Panel",132,21,0.159090909090909,50.6
2026-12-02,"Malam","C","OP03","Panel",130,10,0.0769230769230769,38.8
2026-12-02,"Pagi","A","OP01","Bracket",142,3,0.0211267605633803,39.9
2026-12-02,"Pagi","B","OP07","Panel",136,10,0.0735294117647059,49.3
2026-12-02,"Pagi","C","OP03","Housing",126,3,0.0238095238095238,46.2
2026-12-02,"Siang","A","OP02","Housing",119,2,0.0168067226890756,48.4
2026-12-02,"Siang","B","OP04","Housing",123,15,0.121951219512195,56.2
2026-12-02,"Siang","C","OP06","Panel",131,7,0.0534351145038168,45.7
2026-12-09,"Malam","A","OP05","Panel",114,6,0.0526315789473684,46.1
2026-12-09,"Malam","B","OP08","Housing",139,13,0.0935251798561151,57.7
2026-12-09,"Malam","C","OP04","Bracket",137,6,0.0437956204379562,44.5
2026-12-09,"Pagi","A","OP03","Bracket",133,1,0.0075187969924812,39.3
2026-12-09,"Pagi","B","OP03","Bracket",134,15,0.111940298507463,47.1
2026-12-09,"Pagi","C","OP02","Bracket",112,6,0.0535714285714286,39.9
2026-12-09,"Siang","A","OP06","Housing",123,8,0.0650406504065041,55.4
2026-12-09,"Siang","B","OP06","Panel",132,24,0.181818181818182,56
2026-12-09,"Siang","C","OP06","Housing",134,13,0.0970149253731343,49.2
2026-12-16,"Malam","A","OP04","Panel",113,10,0.0884955752212389,46.1
2026-12-16,"Malam","B","OP04","Bracket",156,31,0.198717948717949,54.4
2026-12-16,"Malam","C","OP01","Bracket",129,7,0.0542635658914729,44.7
2026-12-16,"Pagi","A","OP03","Bracket",137,4,0.0291970802919708,42.3
2026-12-16,"Pagi","B","OP05","Bracket",117,6,0.0512820512820513,47.6
2026-12-16,"Pagi","C","OP02","Panel",131,9,0.0687022900763359,42.3
2026-12-16,"Siang","A","OP08","Bracket",134,5,0.0373134328358209,45
2026-12-16,"Siang","B","OP02","Panel",134,18,0.134328358208955,47.3
2026-12-16,"Siang","C","OP02","Panel",109,3,0.0275229357798165,39.3
2026-12-23,"Malam","A","OP01","Bracket",111,2,0.018018018018018,47.8
2026-12-23,"Malam","B","OP06","Housing",130,17,0.130769230769231,57.3
2026-12-23,"Malam","C","OP05","Housing",141,5,0.0354609929078014,50.2
2026-12-23,"Pagi","A","OP08","Panel",134,5,0.0373134328358209,43.6
2026-12-23,"Pagi","B","OP05","Panel",159,10,0.0628930817610063,48.4
2026-12-23,"Pagi","C","OP03","Panel",131,4,0.0305343511450382,38.3
2026-12-23,"Siang","A","OP05","Bracket",135,1,0.00740740740740741,40.3
2026-12-23,"Siang","B","OP01","Panel",138,5,0.036231884057971,51.3
2026-12-23,"Siang","C","OP03","Panel",134,4,0.0298507462686567,42.8
2026-12-30,"Malam","A","OP07","Housing",132,3,0.0227272727272727,53.1
2026-12-30,"Malam","B","OP05","Bracket",111,9,0.0810810810810811,53.7
2026-12-30,"Malam","C","OP04","Housing",121,17,0.140495867768595,48.5
2026-12-30,"Pagi","A","OP01","Housing",134,5,0.0373134328358209,47.6
2026-12-30,"Pagi","B","OP08","Bracket",100,3,0.03,45.8
2026-12-30,"Pagi","C","OP07","Panel",130,3,0.0230769230769231,42.7
2026-12-30,"Siang","A","OP02","Bracket",115,8,0.0695652173913043,44.5
2026-12-30,"Siang","B","OP01","Housing",127,9,0.0708661417322835,54.7
2026-12-30,"Siang","C","OP01","Housing",115,1,0.00869565217391304,42.1
2027-01-06,"Malam","A","OP07","Panel",151,6,0.0397350993377483,44.9
2027-01-06,"Malam","B","OP01","Bracket",119,12,0.100840336134454,50
2027-01-06,"Malam","C","OP01","Housing",129,3,0.0232558139534884,46.8
2027-01-06,"Pagi","A","OP01","Bracket",127,1,0.0078740157480315,37.4
2027-01-06,"Pagi","B","OP03","Panel",131,12,0.0916030534351145,50.8
2027-01-06,"Pagi","C","OP05","Panel",137,3,0.0218978102189781,41
2027-01-06,"Siang","A","OP02","Bracket",138,4,0.0289855072463768,45.8
2027-01-06,"Siang","B","OP01","Bracket",141,7,0.049645390070922,56.2
2027-01-06,"Siang","C","OP04","Housing",112,3,0.0267857142857143,51.5
2027-01-13,"Malam","A","OP07","Panel",145,10,0.0689655172413793,50.9
2027-01-13,"Malam","B","OP06","Bracket",128,21,0.1640625,53.8
2027-01-13,"Malam","C","OP04","Panel",109,14,0.128440366972477,50.6
2027-01-13,"Pagi","A","OP01","Panel",103,4,0.0388349514563107,43.5
2027-01-13,"Pagi","B","OP02","Bracket",136,16,0.117647058823529,48.6
2027-01-13,"Pagi","C","OP02","Housing",136,4,0.0294117647058824,47.6
2027-01-13,"Siang","A","OP01","Bracket",122,4,0.0327868852459016,45.5
2027-01-13,"Siang","B","OP02","Bracket",143,15,0.104895104895105,47.7
2027-01-13,"Siang","C","OP05","Housing",129,5,0.0387596899224806,49.5
2027-01-20,"Malam","A","OP08","Bracket",126,4,0.0317460317460317,45
2027-01-20,"Malam","B","OP05","Panel",135,18,0.133333333333333,56
2027-01-20,"Malam","C","OP01","Bracket",113,6,0.0530973451327434,42.5
2027-01-20,"Pagi","A","OP02","Bracket",123,3,0.024390243902439,39.8
