"Uji","Nilai"
"Deskriptif: rata-rata cycle time","46.98 detik"
"CI 95% rata-rata cycle time","[46.44; 47.52]"
"t-test 1 sampel vs 45 detik","p = 4.41e-12"
"t-test A vs B","selisih 6.69 detik, p = < 2.2e-16"
"t-test berpasangan (pelatihan)","-4.70 detik, p = 4.43e-14"
"Proporsi A vs B","X2 = 529.7, p = < 2.2e-16"
"Chi-square Shift x defect","p = 1.42e-06, V = 0.27"
"ANOVA cycle time per lini","F = 181.3, p = < 2.2e-16"
"Korelasi cycle time ~ defect rate","r = 0.57, p = < 2.2e-16"
"Regresi sederhana","R2 = 0.33"
"Regresi berganda","Adj R2 = 0.52"
