"Tanggal","Produksi","Cacat","DefectRatePct","DowntimeMnt"
2026-01-02,1941,40,2.06,160
2026-01-03,2013,47,2.33,123
2026-01-05,2129,38,1.78,180
2026-01-06,1971,80,4.06,192
2026-01-07,2147,52,2.42,151
2026-01-08,2206,70,3.17,84
2026-01-09,2035,40,1.97,102
2026-01-10,1869,31,1.66,161
2026-01-12,1894,56,2.96,114
2026-01-13,2215,69,3.12,182
2026-01-14,1994,37,1.86,131
2026-01-15,2078,63,3.03,110
2026-01-16,1997,54,2.7,74
2026-01-17,1963,49,2.5,126
2026-01-19,2224,67,3.01,143
2026-01-20,1961,43,2.19,134
2026-01-21,2048,94,4.59,113
2026-01-22,1796,47,2.62,197
2026-01-23,2119,56,2.64,110
2026-01-24,2018,48,2.38,216
2026-01-26,2119,62,2.93,95
2026-01-27,2151,46,2.14,103
2026-01-28,2078,40,1.92,135
2026-01-29,1980,40,2.02,96
2026-01-30,1820,63,3.46,163
2026-01-31,2247,63,2.8,123
2026-02-02,2153,70,3.25,127
2026-02-03,2145,73,3.4,126
2026-02-04,1960,40,2.04,158
2026-02-05,1989,54,2.71,161
2026-02-06,1972,78,3.96,97
2026-02-07,2075,64,3.08,99
2026-02-09,2011,49,2.44,150
2026-02-10,2015,55,2.73,141
2026-02-11,1943,35,1.8,137
2026-02-12,2050,35,1.71,183
2026-02-13,1915,38,1.98,62
2026-02-14,1861,36,1.93,220
2026-02-16,2077,63,3.03,161
2026-02-17,2113,49,2.32,119
2026-02-18,2181,53,2.43,100
2026-02-19,2039,35,1.72,169
2026-02-20,2003,56,2.8,75
2026-02-21,1911,53,2.77,90
2026-02-23,2076,57,2.75,174
2026-02-24,2089,60,2.87,116
2026-02-25,2020,43,2.13,197
2026-02-26,1973,29,1.47,79
2026-02-27,2007,51,2.54,84
2026-02-28,2154,55,2.55,117
2026-03-02,2216,80,3.61,154
2026-03-03,2161,35,1.62,172
2026-03-04,2120,50,2.36,183
2026-03-05,2095,65,3.1,165
2026-03-06,1813,45,2.48,113
2026-03-07,2139,25,1.17,44
2026-03-09,2186,54,2.47,73
2026-03-10,2008,55,2.74,212
2026-03-11,2200,48,2.18,94
2026-03-12,1828,39,2.13,105
2026-03-13,1735,41,2.36,118
2026-03-14,2081,43,2.07,143
2026-03-16,2171,52,2.4,96
2026-03-17,1918,73,3.81,295
2026-03-18,1955,27,1.38,184
2026-03-19,1888,48,2.54,81
2026-03-20,1914,45,2.35,90
2026-03-21,1922,52,2.71,106
2026-03-23,2013,47,2.33,89
2026-03-24,1958,51,2.6,151
2026-03-25,2043,47,2.3,169
2026-03-26,2065,50,2.42,141
2026-03-27,2105,73,3.47,64
2026-03-28,1964,48,2.44,83
2026-03-30,2051,34,1.66,70
2026-03-31,2254,83,3.68,103
2026-04-01,1866,33,1.77,122
2026-04-02,2095,44,2.1,116
2026-04-03,1841,52,2.82,129
2026-04-04,2018,73,3.62,80
2026-04-06,1889,41,2.17,172
2026-04-07,1940,42,2.16,148
2026-04-08,2045,35,1.71,97
2026-04-09,2154,56,2.6,176
2026-04-10,1984,67,3.38,156
2026-04-11,2416,55,2.28,150
