"Operator","Dilatih","Periode","DefectRate","Produksi"
"OP-T01","Ya","Sebelum",3.99,373
"OP-T02","Ya","Sebelum",3.5,392
"OP-T03","Ya","Sebelum",4.1,340
"OP-T04","Ya","Sebelum",3.8,378
"OP-T05","Ya","Sebelum",4.14,348
"OP-T06","Ya","Sebelum",3.92,313
"OP-T07","Ya","Sebelum",4.72,370
"OP-T08","Ya","Sebelum",3.73,388
"OP-T09","Ya","Sebelum",3.79,322
"OP-T10","Ya","Sebelum",2.99,331
"OP-T11","Ya","Sebelum",4.2,364
"OP-T12","Ya","Sebelum",4.21,338
"OP-T13","Ya","Sebelum",5.21,365
"OP-T14","Ya","Sebelum",3.79,368
"OP-T15","Ya","Sebelum",3.51,337
"OP-T16","Ya","Sebelum",3.93,365
"OP-T17","Ya","Sebelum",4.46,357
"OP-T18","Ya","Sebelum",4.38,374
"OP-T19","Ya","Sebelum",3.77,392
"OP-T20","Ya","Sebelum",3.79,373
"OP-T01","Ya","Sesudah",1.76,350
"OP-T02","Ya","Sesudah",2.47,346
"OP-T03","Ya","Sesudah",2.55,351
"OP-T04","Ya","Sesudah",2.63,343
"OP-T05","Ya","Sesudah",1.85,299
"OP-T06","Ya","Sesudah",2.42,365
"OP-T07","Ya","Sesudah",2.76,354
"OP-T08","Ya","Sesudah",2.19,357
"OP-T09","Ya","Sesudah",2.38,317
"OP-T10","Ya","Sesudah",1.18,353
"OP-T11","Ya","Sesudah",2.67,329
"OP-T12","Ya","Sesudah",1.79,326
"OP-T13","Ya","Sesudah",3.76,352
"OP-T14","Ya","Sesudah",2.21,329
"OP-T15","Ya","Sesudah",1.51,385
"OP-T16","Ya","Sesudah",2.26,378
"OP-T17","Ya","Sesudah",3.08,391
"OP-T18","Ya","Sesudah",2.75,318
"OP-T19","Ya","Sesudah",2.15,372
"OP-T20","Ya","Sesudah",2.12,375
"OP-C01","Tidak","Sebelum",3.53,332
"OP-C02","Tidak","Sebelum",3.14,370
"OP-C03","Tidak","Sebelum",3.09,352
"OP-C04","Tidak","Sebelum",3.87,357
"OP-C05","Tidak","Sebelum",2.84,358
"OP-C06","Tidak","Sebelum",4.03,369
"OP-C07","Tidak","Sebelum",3.66,348
"OP-C08","Tidak","Sebelum",2.22,337
"OP-C09","Tidak","Sebelum",2.75,327
"OP-C10","Tidak","Sebelum",3.26,355
"OP-C11","Tidak","Sebelum",2.86,349
"OP-C12","Tidak","Sebelum",3.16,347
"OP-C13","Tidak","Sebelum",3.05,353
"OP-C14","Tidak","Sebelum",3.38,327
"OP-C15","Tidak","Sebelum",2.68,322
"OP-C16","Tidak","Sebelum",2.91,300
"OP-C17","Tidak","Sebelum",3.04,364
"OP-C18","Tidak","Sebelum",3.3,364
"OP-C19","Tidak","Sebelum",2.77,358
"OP-C20","Tidak","Sebelum",2.8,345
"OP-C01","Tidak","Sesudah",3.55,384
"OP-C02","Tidak","Sesudah",3.3,320
"OP-C03","Tidak","Sesudah",3.11,409
"OP-C04","Tidak","Sesudah",4.1,349
"OP-C05","Tidak","Sesudah",3.29,362
"OP-C06","Tidak","Sesudah",3.62,339
"OP-C07","Tidak","Sesudah",3.52,361
"OP-C08","Tidak","Sesudah",2.51,380
"OP-C09","Tidak","Sesudah",2.79,346
"OP-C10","Tidak","Sesudah",3.27,375
"OP-C11","Tidak","Sesudah",2.67,344
"OP-C12","Tidak","Sesudah",3.29,374
"OP-C13","Tidak","Sesudah",3.14,298
"OP-C14","Tidak","Sesudah",3.42,345
"OP-C15","Tidak","Sesudah",2.61,369
"OP-C16","Tidak","Sesudah",3.35,333
"OP-C17","Tidak","Sesudah",3.29,347
"OP-C18","Tidak","Sesudah",3.08,368
"OP-C19","Tidak","Sesudah",3.2,335
"OP-C20","Tidak","Sesudah",2.31,311
