"Tanggal","Lini","Shift","OperatorID","Product","UnitsProduced","UnitsDefect","DowntimeMin","TempC","HumidityPct","EnergyKWh"
2026-07-01,"A","Pagi","OP01","Bracket",1142,35,19,26.4,70,23
2026-07-01,"A","Sore","OP02","Bracket",1242,42,84,26,73,38.2
2026-07-01,"B","Pagi","OP03","Bracket",1200,56,2,26.9,64,33.3
2026-07-01,"B","Sore","OP04","Bracket",1355,52,28,26.1,74,36.3
2026-07-01,"C","Pagi","OP05","Sensor",828,22,114,23.8,74,23.7
2026-07-01,"C","Sore","OP06","Panel",1001,46,33,NA,73,18.4
2026-07-02,"A","Pagi","OP01","Bracket",1503,47,35,24.9,72,30.2
2026-07-02,"A","Sore","OP02","Housing",1506,60,8,28.4,NA,38.8
2026-07-02,"B","Pagi","OP03","Terminal",965,48,116,26.6,72,30.7
2026-07-02,"B","Sore","OP04","Terminal",1524,96,42,29.1,72,41.7
2026-07-02,"C","Pagi","OP05","Panel",1045,53,16,26.1,70,20.8
2026-07-02,"C","Sore","OP06","Sensor",1327,26,18,24.3,NA,33.2
2026-07-03,"A","Pagi","OP01","Bracket",1379,39,34,26,69,40.3
2026-07-03,"A","Sore","OP02","Bracket",858,31,44,26.5,76,20.7
2026-07-03,"B","Pagi","OP03","Terminal",1010,56,16,28.6,73,25.2
2026-07-03,"B","Sore","OP04","Terminal",758,54,10,26.6,71,15.7
2026-07-03,"C","Pagi","OP05","Panel",1113,57,2,24.7,70,25.3
2026-07-03,"C","Sore","OP06","Panel",1296,64,6,25.3,74,37.3
2026-07-04,"A","Pagi","OP01","Bracket",1543,51,13,26.7,77,37.5
2026-07-04,"A","Sore","OP02","Housing",1232,53,2,28,72,25.5
2026-07-04,"B","Pagi","OP03","Bracket",937,35,89,29,64,28.9
2026-07-04,"B","Sore","OP04","Bracket",1164,51,34,27.4,68,21.6
2026-07-04,"C","Pagi","OP05","Panel",1069,43,39,25.8,74,32.7
2026-07-04,"C","Sore","OP06","Sensor",1118,30,42,27.4,67,28.1
2026-07-06,"A","Pagi","OP01","Housing",1540,61,3,26.8,NA,38.6
2026-07-06,"A","Sore","OP02","Housing",972,32,48,26,76,19.1
2026-07-06,"B","Pagi","OP03","Terminal",1029,64,29,28.8,69,30.4
2026-07-06,"B","Sore","OP04","Terminal",1419,102,9,27.1,70,43
2026-07-06,"C","Pagi","OP05","Sensor",961,18,12,24.6,68,23.6
2026-07-06,"C","Sore","OP06","Sensor",1227,23,4,25.8,68,35.8
2026-07-07,"A","Pagi","OP01","Bracket",1241,37,123,27.1,67,36.7
2026-07-07,"A","Sore","OP02","Bracket",1595,48,82,26.6,70,30.8
2026-07-07,"B","Pagi","OP03","Bracket",1357,48,0,27.8,69,32.9
2026-07-07,"B","Sore","OP07","Terminal",1407,77,27,28.9,77,32.2
2026-07-07,"C","Pagi","OP05","Panel",931,37,74,24.3,67,29.1
2026-07-07,"C","Sore","OP06","Sensor",1368,34,4,27.3,73,30.2
2026-07-08,"A","Pagi","OP01","Housing",1101,43,4,26.4,67,20.4
2026-07-08,"A","Sore","OP02","Housing",938,37,37,26.8,70,29.1
2026-07-08,"B","Pagi","OP03","Bracket",1106,44,22,28.1,75,34
2026-07-08,"B","Sore","OP04","Terminal",1092,80,7,28.9,71,22.5
2026-07-08,"C","Pagi","OP05","Panel",851,34,64,26,66,22.2
2026-07-08,"C","Sore","OP06","Panel",917,37,7,24.1,69,25.5
2026-07-09,"A","Pagi","OP01","Housing",1157,38,26,26.3,72,34.8
2026-07-09,"A","Sore","OP02","Housing",764,36,0,26.5,78,17.8
2026-07-09,"B","Pagi","OP03","Bracket",1559,67,24,27,74,49.2
2026-07-09,"B","Sore","OP04","Terminal",851,68,6,29.1,71,16.2
2026-07-09,"C","Pagi","OP05","Panel",1431,53,41,24.4,78,43
2026-07-09,"C","Sore","OP06","Sensor",1047,30,20,24.6,74,33.4
2026-07-10,"A","Pagi","OP01","Bracket",909,26,27,27.1,77,28.9
2026-07-10,"A","Sore","OP02","Bracket",838,27,14,27.4,77,15.1
2026-07-10,"B","Pagi","OP03","Bracket",1274,46,92,29.1,74,36.3
2026-07-10,"B","Sore","OP04","Bracket",1393,63,2,NA,68,32.5
2026-07-10,"C","Pagi","OP05","Panel",1062,51,19,25.8,71,19.5
2026-07-10,"C","Sore","OP06","Panel",1450,59,47,23.4,76,44.3
2026-07-11,"A","Pagi","OP01","Bracket",1092,35,-12,25.1,68,24.1
2026-07-11,"A","Sore","OP02","Housing",921,44,11,27.3,67,22.2
2026-07-11,"B","Pagi","OP07","Terminal",1428,77,15,26.9,73,42.9
2026-07-11,"B","Sore","OP04","Terminal",962,57,68,27.2,73,29.4
2026-07-11,"C","Pagi","OP05","Sensor",1355,30,12,25.9,69,30
2026-07-11,"C","Sore","OP06","Sensor",742,13,24,27.5,72,20.7
2026-07-13,"A","Pagi","OP01","Bracket",1441,50,24,22.4,77,39.3
2026-07-13,"A","Sore","OP02","Housing",799,35,6,26.7,72,23.3
2026-07-13,"B","Pagi","OP03","Terminal",1309,66,2,27,70,29.1
2026-07-13,"B","Sore","OP04","Bracket",733,32,2,27.5,NA,18
2026-07-13,"C","Pagi","OP05","Panel",890,37,1,24,72,24.5
2026-07-13,"C","Sore","OP06","Panel",1029,39,2,25.3,72,23.5
2026-07-14,"A","Pagi","OP01","Housing",979,32,69,27,72,24.5
2026-07-14,"A","Sore","OP02","Housing",1515,64,14,26.9,73,32.4
2026-07-14,"B","Pagi","OP03","Terminal",801,36,56,28,75,19.8
2026-07-14,"B","Sore","OP04","Terminal",986,74,36,28.4,70,20.9
2026-07-14,"C","Pagi","OP05","Sensor",1359,29,14,25.5,69,38.4
2026-07-14,"C","Sore","OP06","Sensor",1431,30,27,27.6,76,39.8
2026-07-15,"A","Pagi","OP01","Housing",1522,58,2,26,75,47.2
2026-07-15,"A","Sore","OP02","Housing",1055,33,29,25.2,73,30.9
2026-07-15,"B","Pagi","OP03","Bracket",747,27,32,28.9,71,16.9
2026-07-15,"B","Sore","OP04","Terminal",1049,65,38,27.8,73,30.8
2026-07-15,"C","Pagi","OP05","Panel",1179,46,79,26.1,68,23.1
2026-07-15,"C","Sore","OP06","Panel",1238,65,85,25.9,73,33.8
2026-07-16,"A","Pagi","OP01","Housing",1326,52,27,27,67,40.1
2026-07-16,"A","Sore","OP02","Bracket",731,25,11,26.5,74,16.1
2026-07-16,"B","Pagi","OP07","Terminal",1072,48,21,27.6,75,20.5
2026-07-16,"B","Sore","OP04","Terminal",1362,107,4,29,71,30.9
2026-07-16,"C","Pagi","OP05","Panel",884,35,43,26.3,NA,23.7
2026-07-16,"C","Sore","OP06","Panel",754,34,20,26,70,18
2026-07-17,"A","Pagi","OP07","Bracket",840,26,102,26.2,71,24.3
2026-07-17,"A","Sore","OP02","Housing",779,33,36,27.3,73,18.6
2026-07-17,"B","Pagi","OP03","Terminal",1510,89,7,27.8,78,39.8
2026-07-17,"B","Sore","OP04","Bracket",1145,45,3,27.9,75,22.9
2026-07-17,"C","Pagi","OP05","Sensor",1074,25,31,24.1,69,33.9
