InspectionDate,Line,Product,DefectType,Inspected,Defect,CycleTimeSec
2026-07-01,A,Bracket,Scratch,120,5,42
2026-07-01,A,Bracket,Dimension,115,3,41
2026-07-01,B,Bracket,Scratch,130,9,46
2026-07-01,B,Bracket,Crack,125,4,47
2026-07-01,C,Panel,Dimension,140,4,39
2026-07-01,C,Panel,Color,135,2,40
2026-07-08,A,Bracket,Crack,118,4,43
2026-07-08,A,Bracket,NONE,122,2,42
2026-07-08,B,Bracket,Scratch,128,8,48
2026-07-08,B,Bracket,Dimension,126,7,49
2026-07-08,C,Panel,NONE,142,3,40
2026-07-08,C,Panel,Color,138,2,41
2026-07-15,A,Bracket,Dimension,121,4,42
2026-07-15,A,Bracket,Scratch,119,6,43
2026-07-15,B,Bracket,Crack,124,10,50
2026-07-15,B,Bracket,Scratch,127,8,49
2026-07-15,C,Panel,Dimension,139,3,40
2026-07-15,C,Panel,NONE,141,2,39
2026-07-22,A,Bracket,NONE,123,2,41
2026-07-22,A,Bracket,Dimension,117,3,42
2026-07-22,B,Bracket,Scratch,129,11,51
2026-07-22,B,Bracket,Crack,122,9,50
2026-07-22,C,Panel,Color,136,4,41
2026-07-22,C,Panel,Dimension,143,3,40
2026-08-01,A,Bracket,Scratch,125,5,42
2026-08-01,A,Bracket,Dimension,120,3,43
2026-08-01,B,Bracket,Crack,123,11,51
2026-08-01,B,Bracket,Scratch,131,10,50
2026-08-01,C,Panel,NONE,144,2,39
2026-08-01,C,Panel,Color,137,3,40
2026-08-08,A,Bracket,Crack,116,4,43
2026-08-08,A,Bracket,NONE,124,2,42
2026-08-08,B,Bracket,Dimension,127,9,49
2026-08-08,B,Bracket,Scratch,130,10,50
2026-08-08,C,Panel,Dimension,141,3,40
2026-08-08,C,Panel,Color,139,3,41
2026-08-15,A,Bracket,Dimension,119,4,43
2026-08-15,A,Bracket,Scratch,121,5,42
2026-08-15,B,Bracket,Crack,126,12,52
2026-08-15,B,Bracket,Scratch,124,9,51
2026-08-15,C,Panel,NONE,140,2,40
2026-08-15,C,Panel,Color,138,4,41
2026-08-22,A,Bracket,NONE,122,2,42
2026-08-22,A,Bracket,Dimension,118,3,43
2026-08-22,B,Bracket,Scratch,128,11,51
2026-08-22,B,Bracket,Crack,121,10,52
2026-08-22,C,Panel,Dimension,143,3,40
2026-08-22,C,Panel,NONE,139,2,39
